title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor
Alien: Covenant	2017	R	17	122	Horror; Sci-Fi; Thriller	Ridley Scott	Michael Fassbender; Katherine Waterston; Billy Crudup; Danny McBride	The crew of the colony ship Covenant bound for a remote planet on the far side of the galaxy discovers what they think is an uncharted paradise but is actually a dark dangerous world When they uncover a threat beyond their imagination they must attempt a harrowing escape	English	USA; UK	1 win & 9 nominations	6.5	68	65	74255908	20th Century Fox	19-May-17	2017	5	23272121	19262	147053	8466	97000000	74262031	Fox
The Peanuts Movie	2015	G	1	88	Animation; Adventure; Comedy	Steve Martino	Trombone Shorty; Rebecca Bloom; Anastasia Bredikhina; Francesca Capaldi	Charlie Brown Snoopy and the whole gang are back in a heartwarming story A new girl with red hair moves in across the street and Charlie Brown falls in love Now he tries to impress the red haired girl to make her feel like hes a winner but Charlie Brown just cant do anything right At the same time Snoopy is writing a love story about his continuing battles with The Red Baron Then Charlie Brown has accomplished something never done before He gets a perfect score on his standardized test but there has been a mistake Should he tell the truth and risk losing all of his newfound popularity? Can Charlie Brown get the girl to love him or will he go back to being a nothing?	English	USA	Nominated for 1 Golden Globe Another 1 win & 45 nominations	7.1	87	67	106132048	20th Century Fox	6-Nov-15	2015	11	2748192	1246	12171	435	99000000	130178411	Fox
Constantine	2005	R	17	121	Drama; Fantasy; Horror	Francis Lawrence	Keanu Reeves; Rachel Weisz; Shia LaBeouf; Djimon Hounsou	John Constantine is approached by Det Angela Dodson who needs his help to prove that her twin sister Isabels death was not a suicide The dead woman was a devout Catholic and Angela refuses to accept she would have taken her own life Shes asked Constantine for help because he has a reputation for dealing with the mystical In fact he is a demon hunter whose sole purpose on Earth is to send demons back to the nether regions John himself has been to Hell and knows that he is destined to return there on his death - but hopes his good deeds may find him a place in Heaven As he looks into Isabels death he realizes demons are trying to break through to the human world and his battles lead him into a direct conflict with Satan	English; Filipino; Tagalog	USA; Germany	2 wins & 9 nominations	7	46	50	75400000	Warner Bros. Pictures	18-Feb-05	2005	2	305594	60	472	28	100000000	75976178	Warner Bros.
Fun with Dick and Jane	2005	PG-13	13	90	Comedy; Crime	Dean Parisot	Jim Carrey; Téa Leoni; Alec Baldwin; Richard Jenkins	The day before Globodynes stock tanks a la Enron and its pension fund evaporates the corporations CEO and CFO set up middle manager Dick Harper to be the public face of the disaster Jobless and with no savings pension or home equity Dick and his wife Jane sink slowly into poverty He looks for work (as do all former Globodyne executives) he even tries day labor with the relatives of their Mexican nanny A foreclosure notice sends Dick and Jane over the edge into a life of blue-collar crime Then as things finally look up the report of an looming indictment pushes Dick and Jane toward a denouement with the real criminals the white-collar guys	English; Spanish	USA	7 nominations	6.1	29	47	110332737	Columbia Pictures	21-Dec-05	2005	12	99117	2			100000000	110332737	Sony / Columbia
Blood Diamond	2006	R	17	143	Adventure; Drama; Thriller	Edward Zwick	Leonardo DiCaprio; Djimon Hounsou; Jennifer Connelly; Kagiso Kuypers	A story following Archer a man tortured by his roots With a strong survival instinct he has made himself a key player in the business of conflict diamonds Political unrest is rampant in Sierra Leone as people fight tooth for tooth Upon meeting Solomon and the beautiful Maddy Archers life changes forever as he is given a chance to make peace with the war around him	English; Mende; Afrikaans	Germany; USA	Nominated for 5 Oscars Another 8 wins & 26 nominations	8	62	64	57300000	Warner Bros. Pictures	8-Dec-06	2006	12	32296	3	39	2	100000000	57377916	Warner Bros.
Eragon	2006	PG	7	104	Action; Adventure; Family	Stefen Fangmeier	Ed Speleers; Jeremy Irons; Sienna Guillory; Robert Carlyle	The Kingdom of Alagaesia is ruled by the evil King Galbatorix a former dragon rider that betrayed his mates and his people in his quest for power When the orphan farm boy Eragon finds a blue stone sent by Princess Arya he sooner realizes that it is a dragon egg When the dragon Saphira is born Eragon meets his mentor Brom and becomes the dragon rider foreseen in an ancient prophecy that would set his people free from the tyrant Galbatorix Eragon meets the rebels Varden and together they fight against the evil sorcerer Durza and the army of Galbatorix in a journey for freedom	English	USA; UK; Hungary	1 win & 6 nominations	5.1	N/A	38	N/A	N/A	15-Dec-06	2006	12	381630	307	518	56	100000000	75030163	Fox
Happy Feet	2006	PG	7	108	Animation; Comedy; Family	George Miller; Warren Coleman(co-director); Judy Morris(co-director)	Carlos Alazraqui; Lombardo Boyar; Jeffrey Garcia; Johnny A. Sanchez	This is the story of a little penguin named Mumble who has a terrible singing voice and later discovers he has no Heartsong However Mumble has an astute talent for something that none of the penguins had ever seen before: tap dancing Though Mumbles mom Norma Jean thinks this little habit is cute his dad Memphis says it just aint penguin Besides they both know that without a Heartsong Mumble may never find true love As fate would have it his one friend Gloria happens to be the best singer around Mumble and Gloria have a connection from the moment they hatch but she struggles with his strange hippity- hoppity ways Mumble is just too different--especially for Noah the Elder the stern leader of Emperor Land who ultimately casts him out of the community Away from home for the first time Mumble meets a posse of decidedly un-Emperor-like penguins--the Adelie Amigos Led by Ramon the Adelies instantly embrace Mumbles cool dance moves and invite him to party with them In Adelie Land Mumble seeks the counsel of Lovelace the Guru a crazy-feathered Rockhopper penguin who will answer any of lifes questions for the price of a pebble Together with Lovelace and the Amigos Mumble sets out across vast landscapes and after some epic encounters proves that by being true to yourself you can make all the difference in the world	English	USA; Australia	Won 1 Oscar Another 18 wins & 23 nominations	6.5	75	77	197800000	Warner Bros. Pictures	17-Nov-06	2006	11	448949	37	625	93	100000000	198000317	Warner Bros.
American Gangster	2007	R	17	157	Biography; Crime; Drama	Ridley Scott	Denzel Washington; Russell Crowe; Chiwetel Ejiofor; Josh Brolin	Following the death of his employer and mentor Bumpy Johnson Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States As a result his product is superior to what is currently available on the street and his prices are lower His alliance with the New York Mafia ensures his position It is also the story of a dedicated and honest policeman Richie Roberts who heads up a joint narcotics task force with the Federal government Based on a true story	English	USA; UK	Nominated for 2 Oscars Another 12 wins & 35 nominations	7.8	80	76	130127620	Universal Pictures	2-Nov-07	2007	11	1653622	231	3093	108	100000000	130164645	Universal
Cloudy with a Chance of Meatballs	2009	PG	7	90	Animation; Action; Adventure	Phil Lord; Christopher Miller	Bill Hader; Anna Faris; James Caan; Andy Samberg	Flint Lockwood thinks hes a genius But none of the things he invented are things that make sense or are useful However he has the support of his mother but when she dies hes left alone with his father who thinks he should give it up When the community that he lives in is in an economic crisis because their primary source of income a sardine cannery was shut down Flint decides to try his latest invention a machine that can turn water into food But something goes wrong and the machine ends up in the atmosphere Later it starts raining food The shifty mayor tries to use this as a way to help their community but when Flint senses something wrong with the machine the mayor convinces him to ignore it However as Flint predicts chaos ensues	English; French; Russian	USA	Nominated for 1 Golden Globe Another 1 win & 13 nominations	7	87	66	124870275	Sony Pictures	18-Sep-09	2009	9	196884	29	132	8	100000000	124870275	Sony / Columbia
Land of the Lost	2009	PG-13	13	102	Adventure; Comedy; Sci-Fi	Brad Silberling	Will Ferrell; Anna Friel; Danny McBride; Jorma Taccone	Palaeontologist Rick Marshall takes Will and Holly into a new world of danger dinosaurs and big bug-eyed lizard people while trying to find their way back home and too save the universe and in doing so saving his reputation With the dinosaur with brains brawn and personality and the adventure of scientific advancement and exotic beasts in a far away land it all adds up to time traveling fun and frolics	English	USA	2 wins & 9 nominations	5.4	26	32	49392095	Universal Pictures	5-Jun-09	2009	6	1571510	487	1947	202	100000000	49438370	Universal
Public Enemies	2009	R	17	140	Biography; Crime; Drama	Michael Mann	Christian Bale; Christian Stolte; Jason Clarke; Johnny Depp	This is the story of the last few years of the notorious bank robber John Dillinger He loved what he did and could imagine little else that would make him happier Living openly in 1930s Chicago he had the run of the city with little fear of reprisals from the authorities Its there that he meets Billie Frechette with whom he falls deeply in love In parallel we meet Melvin Purvis the FBI agent who would eventually track Dillinger down The FBI was is in its early days and Director J Edgar Hoover was keen to promote the clean cut image that so dominated the organization through his lifetime Purvis realizes that if he is going to get Dillinger he will have to use street tactics and imports appropriate men with police training Dillinger is eventually betrayed by an acquaintance who tells the authorities just where to find him on a given night	English	USA; Japan	1 win & 14 nominations	7	68	70	97000000	Universal Studios	1-Jul-09	2009	7	3759559	1551	5756	244	100000000	97104620	Universal
Where the Wild Things Are	2009	PG	7	101	Adventure; Drama; Family	Spike Jonze	Max Records; Pepita Emmerichs; Max Pfeifer; Madeleine Greaves	A young boy named Max has an active imagination and he will throw fits if others dont go along with what he wants Max - following an incident with Claire (his sister) and her friends and following a tantrum which he throws as a result of his Mother paying more attention to her boyfriend than to him - runs away from home Wearing his wolf costume at the time Max not only runs away physically but runs toward a world in his imagination This world an ocean away is inhabited by large wild beasts including one named Carol who is much like Max himself in temperament Instead of eating Max like they normally would with creatures of his type the wild things befriend Max after he proclaims himself a king who can magically solve all their problems	English	Germany; Australia; USA	Nominated for 1 Golden Globe Another 7 wins & 53 nominations	6.8	72	71	77222184	Warner Bros. Pictures	16-Oct-09	2009	10	602527	354	1976	78	100000000	77233467	Warner Bros.
Green Zone	2010	R	17	115	Action; Drama; Thriller	Paul Greengrass	Igal Naor; Said Faraj; Faycal Attougui; Aymen Hamdouchi	Following the American invasion of Iraq in 2003 Chief Warrant Officer Roy Miller and his men are charged with finding the so-called weapons of mass destruction whose existence justified American involvement according to the Pentagon and their man in Baghdad Poundstone Veteran CIA operative Marty tells Miller that there are no weapons it is a deception to allow the Americans to take over the country and install a puppet leader Also suspicious of Poundstone is Wall Street Journal reporter Lawrie Dayne who lets slip to Miller that Poundstone told her he had secret talks in Jordan with an important Iraqi code-named Magellan who told him about the weapons though it now seems likely Magellans true information was to the contrary So begins a hunt for the truth Whos playing whom?	English; Arabic	UK; France; Spain; USA	7 nominations	6.8	54	63	35000000	Universal Pictures	12-Mar-10	2010	3	1035823	283	973	93	100000000	35053660	Universal
Little Fockers	2010	PG-13	13	98	Comedy; Romance	Paul Weitz	Robert De Niro; Ben Stiller; Owen Wilson; Dustin Hoffman	It has taken 10 years two little Fockers with wife Pam and countless hurdles for Greg to finally get in with his tightly wound father-in-law Jack After the cash-strapped dad takes a job moonlighting for a drug company however Jacks suspicions about his favorite male nurse come roaring back When Greg and Pams entire clan--including Pams lovelorn ex Kevin (Owen Wilson)--descends for the twins birthday party Greg must prove to the skeptical Jack that hes fully capable as the man of the house But with all the misunderstandings spying and covert missions will Greg pass Jacks final test and become the familys next patriarch or will the circle of trust be broken for good?	English; Ukrainian	USA	3 wins & 5 nominations	5.5	9	27	148383780	Universal Pictures	22-Dec-10	2010	12	508582	184	562	41	100000000	148438600	Universal
The Other Guys	2010	PG-13	13	107	Action; Comedy; Crime	Adam McKay	Will Ferrell; Derek Jeter; Mark Wahlberg; Eva Mendes	Terry Hoitzs past mistakes in the line of duty and Allen Gambles reluctance to take risks have landed them the roles of the Other Guys disgraced New York City police detectives relegated to filling out paperwork for cocky hero cops Danson and Highsmith The mismatched duo must look past their differences when they take on a high-profile investigation of shady capitalist David Ershon and attempt to fill the shoes of the notoriously reckless officers they idolize	English; Ukrainian	USA	3 wins & 15 nominations	6.7	78	64	119219978	Columbia Pictures	6-Aug-10	2010	8	6990091	2466	10007	359	100000000	119219978	Sony / Columbia
Sex and the City 2	2010	R	17	146	Comedy; Drama; Romance	Michael Patrick King	Sarah Jessica Parker; Kim Cattrall; Kristin Davis; Cynthia Nixon	Two years have passed since Carrie Bradshaw finally bagged John Mr Big Preston the man she was always meant to be with Just as her friend Charlotte must deal with her young daughters terrible twos Carrie must deal with her relationship taking a turn for the worse - Big likes to watch old black-and-white movies on TV and eat take-out food which prevents Carrie from feeling like the free-wheeling party girl she used to be Meanwhile Miranda copes with a new boss that cant handle an intelligent powerful woman and Samantha works a public relations angle that gets the fashionable foursome an all-expense-paid trip to Abu Dhabi	English; Arabic	USA	8 wins & 9 nominations	4.4	16	27	95328937	Warner Bros. Pictures	27-May-10	2010	5	335811	26	166	21	100000000	95347692	Warner Bros. (New Line)
The Tourist	2010	PG-13	13	103	Action; Adventure; Crime	Florian Henckel von Donnersmarck	Johnny Depp; Angelina Jolie; Paul Bettany; Timothy Dalton	Elise (Angelina Jolie) sits next to an American tourist Frank (Johnny Depp) on a train going to Venice She has chosen him as a decoy making believe that he is her lover who is wanted by police Not only will they need to evade the police but also the mobster whose money her lover stole	English; French; Italian; Russian; Spanish	USA; France; Italy; UK	Nominated for 3 Golden Globes Another 4 wins & 2 nominations	6	20	37	67631157	Columbia Pictures	10-Dec-10	2010	12	5131271	1912	6748	481	100000000	67631157	Sony / Columbia
Unstoppable	2010	PG-13	13	98	Action; Thriller	Tony Scott	Denzel Washington; Chris Pine; Rosario Dawson; Ethan Suplee	A runaway train carrying a cargo of toxic chemicals puts an engineer and his conductor in a race against time Theyre chasing the runaway train in a separate locomotive and need to bring it under control before it derails on a curve and causes a toxic spill that will decimate a town	English	USA	Nominated for 1 Oscar Another 1 win & 13 nominations	6.8	86	69	81557479	20th Century Fox	12-Nov-10	2010	11	6224419	2854	7996	478	100000000	81562942	Fox
Gravity	2013	PG-13	13	91	Drama; Sci-Fi; Thriller	Alfonso Cuarón	Sandra Bullock; George Clooney; Ed Harris; Orto Ignatiussen	Dr Ryan Stone (Sandra Bullock) is a brilliant medical engineer on her first shuttle mission with veteran astronaut Matt Kowalski (George Clooney) in command of his last flight before retiring But on a seemingly routine spacewalk disaster strikes The shuttle is destroyed leaving Stone and Kowalsky completely alone - tethered to nothing but each other and spiraling out into the blackness	English; Greenlandic	UK; USA	Won 7 Oscars Another 232 wins & 175 nominations	7.8	96	96	274084951	Warner Bros. Pictures	4-Oct-13	2013	10	8200	0	2	0	100000000	274092705	Warner Bros.
The Wolf of Wall Street	2013	R	17	180	Biography; Comedy; Crime	Martin Scorsese	Leonardo DiCaprio; Jonah Hill; Margot Robbie; Matthew McConaughey	Jordan Belfort is a Long Island penny stockbroker who served 22 months in prison for defrauding investors in a massive 1990s securities scam that involved widespread corruption on Wall Street and in the corporate banking world including shoe designer Steve Madden	English; French	USA	Nominated for 5 Oscars Another 38 wins & 165 nominations	8.2	78	75	91330760	Paramount Studios	25-Dec-13	2013	12	20379912	11399	59732	2733	100000000	116900694	Paramount
Transcendence	2014	PG-13	13	119	Drama; Mystery; Romance	Wally Pfister	Johnny Depp; Rebecca Hall; Paul Bettany; Cillian Murphy	Dr Will Caster (Johnny Depp) is the foremost researcher in the field of Artificial Intelligence working to create a sentient machine that combines the collective intelligence of everything ever known with the full range of human emotions His highly controversial experiments have made him famous but they have also made him the prime target of anti-technology extremists who will do whatever it takes to stop him However in their attempt to destroy Will they inadvertently become the catalyst for him to succeed-to be a participant in his own transcendence For his wife Evelyn (Rebecca Hall) and best friend Max Waters (Paul Bettany) both fellow researchers the question is not if they canbut if they should Their worst fears are realized as Wills thirst for knowledge evolves into a seemingly omnipresent quest for power to what end is unknown The only thing that is becoming terrifyingly clear is there may be no way to stop him	English	UK; China; USA	3 wins & 5 nominations	6.3	20	42	23014504	Warner Bros. Pictures	17-Apr-14	2014	4	1557669	312	3822	86	100000000	23022309	Warner Bros.
In the Heart of the Sea	2015	PG-13	13	122	Action; Adventure; Biography	Ron Howard	Chris Hemsworth; Benjamin Walker; Cillian Murphy; Brendan Gleeson	In the winter of 1820 the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will and an almost human sense of vengeance The real-life maritime disaster would inspire Herman Melvilles Moby-Dick But that told only half the story In the Heart of the Sea reveals the encounters harrowing aftermath as the ships surviving crew is pushed to their limits and forced to do the unthinkable to stay alive Braving storms starvation panic and despair the men will call into question their deepest beliefs from the value of their lives to the morality of their trade as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down	English	USA; Australia; Spain	1 win & 5 nominations	6.9	42	47	19043843	Warner Bros. Pictures	11-Dec-15	2015	12	1531512	399	3241	131	100000000	25020758	Warner Bros.
Fred Claus	2007	PG	7	116	Comedy; Family; Fantasy	David Dobkin	Vince Vaughn; Paul Giamatti; John Michael Higgins; Miranda Richardson	During childhood Fred Claus suffered his younger brother Nicks saintliness Jump ahead: Fred is a fast-talking genial but self-centered guy in Chicago looking for $50000 to open an off-track-betting shop When one scam goes awry he calls Nick at the North Pole for a loan: Nick will give him the money only if Fred comes up to help a few days with the Christmas rush After his girlfriend dumps him Fred heads north Santas facing an audit from an efficiency expert and its not pleasant Freds job is to review charts and determine whos naughty and whos nice Is there any fraternal feeling left can either learn from the other and what about Santa getting fired?	English	USA	N/A	5.6	21	42	71970547	Warner Bros. Pictures	9-Nov-07	2007	11	531450	63	313	41	100000000	72006777	Warner Bros.
Cloud Atlas	2012	R	17	172	Action; Drama; Mystery	Tom Tykwer; Lana Wachowski; Lilly Wachowski	Tom Hanks; Halle Berry; Jim Broadbent; Hugo Weaving	Everything is connected: an 1849 diary of an ocean voyage across the Pacific letters from a composer to his lover a thriller about a conspiracy at a nuclear power plant a farce about a publisher in a nursing home a rebellious clone in futuristic Korea and the tale of a tribe living on post-apocalyptic Hawaii far in the future	English; Spanish; Ukrainian	Germany; USA; Hong Kong; Singapore	Nominated for 1 Golden Globe Another 16 wins & 75 nominations	7.5	66	55	22100000	Warner Bros. Pictures	26-Oct-12	2012	10	224938	22	167	96	102000000	27108272	Warner Bros.
The Hangover Part III	2013	R	17	100	Comedy; Crime	Todd Phillips	Bradley Cooper; Ed Helms; Zach Galifianakis; Justin Bartha	In the aftermath of the death of Alans father the wolfpack decide to take Alan to get treated for his mental issues But things start to go wrong on the way to the hospital as the wolfpack is assaulted and Doug is kidnapped Now they must find Mr Chow again in order to surrender him to the gangster who kidnapped Doug in order to save him	English; Spanish	USA	2 wins & 7 nominations	5.9	21	30	112200000	Warner Bros. Pictures	23-May-13	2013	5	308667	164	1084	30	103000000	112200072	Warner Bros.
Rio 2	2014	G	1	101	Animation; Adventure; Comedy	Carlos Saldanha	Jake T. Austin; Carlinhos Brown; Kristin Chenoweth; Jemaine Clement	Its a jungle out there for Blu Jewel and their three kids after theyre hurtled Rio de Janeiro to the wilds of the Amazon As Blu tries to fit in he goes beak-to-beak with the vengeful Nigel and meets the most fearsome adversary of all: his father-in-law	English; Portuguese	USA	1 win & 22 nominations	6.3	46	49	113691800	20th Century Fox	11-Apr-14	2014	4	1350329	431	3327	334	103000000	131538435	Fox
Kingsman: The Golden Circle	2017	R	17	141	Action; Adventure; Comedy	Matthew Vaughn	Taron Egerton; Edward Holcroft; Gordon Alexander; Mark Strong	When the Kingsman headquarters are destroyed and the world is held hostage their journey leads them to the discovery of an allied spy organization in the US called Statesman dating back to the day they were both founded In a new adventure that tests their agents strength and wits to the limit these two elite secret organizations band together to defeat a ruthless common enemy in order to save the world something thats becoming a bit of a habit for Eggsy	English; Italian; Swedish	UK; USA	2 nominations	6.9	52	44	99733121	20th Century Fox	22-Sep-17	2017	9	353389	132	1231	18	104000000	100234838	Fox
The Princess and the Frog	2009	G	1	97	Animation; Adventure; Comedy	Ron Clements; John Musker	Anika Noni Rose; Bruno Campos; Keith David; Michael-Leon Wooley	A modern day retelling of the classic story The Frog Prince The Princess and the Frog finds the lives of arrogant carefree Prince Naveen and hardworking waitress Tiana crossing paths Prince Naveen is transformed into a frog by a conniving voodoo magician and Tiana following suit upon kissing the amphibian royalty With the help of a trumpet-playing alligator a Cajun firefly and an old blind lady who lives in a boat in a tree Naveen and Tiana must race to break the spell and fulfill their dreams	English; French	USA	Nominated for 3 Oscars Another 11 wins & 38 nominations	7.1	85	73	104374107	Walt Disney Pictures	25-Nov-09	2009	11	7913274	82	6212	1865	105000000	104400899	Buena Vista
The Smurfs 2	2013	PG	7	105	Animation; Adventure; Comedy	Raja Gosnell	Hank Azaria; Neil Patrick Harris; Brendan Gleeson; Jayma Mays	The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful magical Smurf-essence But when he discovers that only a real Smurf can give him what he wants and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs Gargamel kidnaps Smurfette and brings her to Paris where he has been winning the adoration of millions as the world¹s greatest sorcerer Its up to Papa Clumsy Grouchy and Vanity to return to our world reunite with their human friends Patrick and Grace Winslow and rescue her! Will Smurfette who has always felt different from the other Smurfs find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?	English; French	USA; France; Canada	8 nominations	5.4	13	34	71017784	Sony Pictures	31-Jul-13	2013	7	1981495	552	2944	697	105000000	71017784	Sony / Columbia
Ice Age: Collision Course	2016	PG	7	94	Animation; Adventure; Comedy	Mike Thurmeier; Galen T. Chu(co-director)	Stephanie Beatriz; Robert Cardone; Neil deGrasse Tyson; Adam Devine	Scrats epic pursuit of his elusive acorn catapults him outside of Earth where he accidentally sets off a series of cosmic events that transform and threaten the planet To save themselves from peril Manny Sid Diego and the rest of the herd leave their home and embark on a quest full of thrills and spills highs and lows laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters	English	USA	2 wins	5.7	16	34	64060187	20th Century Fox	22-Jul-16	2016	7	561503	203	4802	88	105000000	64063008	Fox
The Great Gatsby	2013	PG-13	13	143	Drama; Romance	Baz Luhrmann	Lisa Adam; Frank Aldridge; Amitabh Bachchan; Steve Bisley	An adaptation of F Scott Fitzgeralds Long Island-set novel where Midwesterner Nick Carraway is lured into the lavish world of his neighbor Jay Gatsby Soon enough however Carraway will see through the cracks of Gatsbys nouveau riche existence where obsession madness and tragedy await	English	Australia; USA	Won 2 Oscars Another 47 wins & 83 nominations	7.3	49	55	144812796	Warner Bros. Pictures	10-May-13	2013	5	3952813	2955	14280	279	105000000	20563273	Paramount
The Martian	2015	PG-13	13	144	Adventure; Drama; Sci-Fi	Ridley Scott	Matt Damon; Jessica Chastain; Kristen Wiig; Jeff Daniels	During a manned mission to Mars Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew But Watney has survived and finds himself stranded and alone on the hostile planet With only meager supplies he must draw upon his ingenuity wit and spirit to subsist and find a way to signal to Earth that he is alive Millions of miles away NASA and a team of international scientists work tirelessly to bring the Martian home while his crewmates concurrently plot a daring if not impossible rescue mission As these stories of incredible bravery unfold the world comes together to root for Watneys safe return	English; Mandarin	UK; USA	Nominated for 7 Oscars Another 37 wins & 185 nominations	8	91	80	202313768	20th Century Fox	2-Oct-15	2015	10	21594667	10875	90864	2871	108000000	228433663	Fox
The Bourne Ultimatum	2007	PG-13	13	115	Action; Mystery; Thriller	Paul Greengrass	Matt Damon; Julia Stiles; David Strathairn; Scott Glenn	Bourne is once again brought out of hiding this time inadvertently by London-based reporter Simon Ross who is trying to unveil Operation Blackbriar--an upgrade to Project Treadstone--in a series of newspaper columns Bourne sets up a meeting with Ross and realizes instantly theyre being scanned Information from the reporter stirs a new set of memories and Bourne must finally ultimately uncover his dark past whilst dodging The Companys best efforts in trying to eradicate him	English; French; Arabic; Russian; Spanish	USA; Germany; France; Spain	Won 3 Oscars Another 26 wins & 39 nominations	8	93	85	227400000	Universal Pictures	3-Aug-07	2007	8	981211	81	1061	47	110000000	227471070	Universal
Ghost Rider	2007	PG-13	13	114	Action; Fantasy; Horror	Mark Steven Johnson	Matt Long; Raquel Alessi; Brett Cullen; Peter Fonda	When the motorcyclist Johnny Blaze finds that his father Barton Blaze has a terminal cancer he accepts a pact with the Mephistopheles giving his soul for the health of his beloved father But the devil deceives him and Barton dies in a motorcycle accident during an exhibition Johnny leaves the carnival his town his friends and his girlfriend Roxanne Years later Johnny Blaze becomes a famous motorcyclist who risks his life in his shows and he meets Roxanne again now a TV reporter However Mephistopheles proposes Johnny to release his contract if he become the Ghost Rider and defeat his evil son Blackheart who wants to possess one thousand evil souls and transform hell on earth	English	USA; Australia	1 win & 9 nominations	5.2	26	35	115802596	Sony Pictures	16-Feb-07	2007	2	2420167	505	2259	237	110000000	115802596	Sony / Columbia
Live Free or Die Hard	2007	PG-13	13	128	Action; Adventure; Thriller	Len Wiseman	Bruce Willis; Timothy Olyphant; Justin Long; Maggie Q	When someone hacks into the computers at the FBIs Cyber Crime Division the Director decides to round up all the hackers who could have done this When hes told that because its the 4th of July most of their agents are not around so they might have trouble getting people to get the hackers So he instructs them to get local PDS to take care of it And one of the cops they ask is John McClane who is tasked with bringing a hacker named Farrell to the FBI But as soon as he gets there someone starts shooting at them McClane manages to get them out but theyre still being pursued And its just when McClane arrives in Washington that the whole system breaks down and chaos ensues	English; French; Italian	USA; UK	3 wins & 16 nominations	7.2	82	69	134500000	20th Century Fox	27-Jun-07	2007	6		0	50	9	110000000	134529403	Fox
Salt	2010	PG-13	13	100	Action; Crime; Mystery	Phillip Noyce	Angelina Jolie; Liev Schreiber; Chiwetel Ejiofor; Daniel Olbrychski	Evelyn Salt is a CIA agent and highly respected by all including her boss Ted Winter Out of the blue a Russian spy walks into their offices and offers a vital piece of information: the President of Russia will be assassinated during his forthcoming visit to New York City to attend the funeral of the recently deceased US Vice President The name of the assassin: Evelyn Salt Concerned about the safety of her husband who she cannot contact she goes on the run Winter refuses to accept that she is a mole or a double agent but her actions begin to raise doubts Just who is Evelyn Salt and what is she planning?	English; Russian; Korean	USA	Nominated for 1 Oscar Another 4 wins & 16 nominations	6.4	62	65	118311368	Sony Pictures	23-Jul-10	2010	7	6736523	2742	6987	461	110000000	118311368	Sony / Columbia
San Andreas	2015	PG-13	13	114	Action; Adventure; Drama	Brad Peyton	Dwayne Johnson; Carla Gugino; Alexandra Daddario; Ioan Gruffudd	In San Andreas California is experiencing a statewide earthquake that goes on record as easily the biggest earthquake in history Dwayne Johnson plays Ray Gaines a helicopter rescue pilot for the Los Angeles Fire Department who is trying to find his daughter Blake (Alexandra Daddario) who is in San Francisco amidst the chaos Rays estranged wife Emma is forced to turn to Ray for help as he is her last resort Together they journey to save their daughter	English	USA	2 wins & 10 nominations	6.1	50	43	127666001	Warner Bros.	29-May-15	2015	5	4405505	2033	11519	640	110000000	155190832	Warner Bros. (New Line)
Deepwater Horizon	2016	PG-13	13	107	Action; Drama; Thriller	Peter Berg	Mark Wahlberg; Kurt Russell; Douglas M. Griffin; James DuMont	In April 2010 there is no oil exploration operation in the Gulf of Mexico to compare with the Deepwater Horizon oil rig with its size or sheer depth of its drilling However the project for the BP oil company is beset with technical difficulties to the point where the general operational supervisor Jimmy Harrell and his Chief Electrical Engineer Mike Williams are concerned potentially dangerous trouble is brewing Unfortunately visiting BP executives frustrated by the projects long delays order curtailed site inspections and slanted system tests to make up for lost time even as Harrell Williams and his team helplessly protest for the sake of proper safety On April 20 the workers fears are realized in the worst possible way when the rigs various structural and system flaws spark a catastrophic cascade of failures that would create a massive blowout and explosion that threatens them all even as it also begins the worst environmental disaster in US history	English	Hong Kong; USA	Nominated for 2 Oscars Another 3 wins & 13 nominations	7.2	83	68	73098411	Lionsgate	30-Sep-16	2016	9	5432195	2268	12432	1113	110000000	61433527	Lionsgate/Summit
