title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Eddie the Eagle|2016|PG-13|Fri Feb 26 2016 00:00:00 GMT-0500 (EST)|106 min|Biography; Comedy; Drama|Dexter Fletcher|Tom Costello; Jo Hartley; Keith Allen; Dickon Tolson|Inspired by true events Eddie the Eagle is a feel-good story about Michael Eddie Edwards (Taron Egerton) an unlikely but courageous British ski-jumper who never stopped believing in himself - even as an entire nation was counting him out With the help of a rebellious and charismatic coach (played by Hugh Jackman) Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics From producers of Kingsman: The Secret Service Eddie the Eagle stars Taron Egerton as Eddie the loveable underdog with a never say die attitude|English; German; Norwegian|UK; Germany; USA|2 wins & 8 nominations|7.4/10|80%|54/100|54|7.4|movie|$20,047,049|20th Century Fox|Eddie the Eagle|26-Feb-16|Biography, Drama, History, Sport, Comedy|54|Eddie the Eagle|62025|0|40|631|12
The Angry Birds Movie|2016|PG|Fri May 20 2016 00:00:00 GMT-0400 (EDT)|97 min|Animation; Action; Adventure|Clay Kaytis; Fergal Reilly|Jason Sudeikis; Josh Gad; Danny McBride; Maya Rudolph|In the 3D animated comedy The Angry Birds Movie well finally find out why the birds are so angry The movie takes us to an island populated entirely by happy flightless birds - or almost entirely In this paradise Red (Jason Sudeikis Were the Millers Horrible Bosses) a bird with a temper problem speedy Chuck (Josh Gad in his first animated role since Frozen) and the volatile Bomb (Danny McBride This is the End Eastbound and Down) have always been outsiders But when the island is visited by mysterious green piggies its up to these unlikely outcasts to figure out what the pigs are up to Featuring a hilarious all-star voice cast that includes Bill Hader (Trainwreck Inside Out) Maya Rudolph (Bridesmaids Sisters) and Peter Dinklage (Game of Thrones) as well as Kate McKinnon (Saturday Night Live Ghostbusters) Keegan-Michael Key (Key & Peele) Tony Hale (Veep Arrested Development) Tituss Burgess (Unbreakable Kimmy Schmidt) Ike Barinholtz (Neighbors Sisters) Hannibal Buress (Daddys Home Broad City) Jillian Bell (22 Jump Street) Danielle Brooks (Orange is the New Black) Latin music sensation Romeo Santos YouTube stars Smosh (Ian Hecox and Anthony Padilla) and country music superstar Blake Shelton who writes and preforms the original song Friends the Columbia Pictures/Rovio Entertainment film is directed by Fergal Reilly and Clay Kaytis and produced by John Cohen and Catherine Winder The screenplay is by Jon Vitti and the film is executive produced by Mikael Hed and David Maisel|English|Finland; USA|1 win & 7 nominations|6.3/10|44%|43/100|43|6.3|movie|$107,506,776|Sony Pictures|The Angry Birds Movie|20-May-16|Action, Comedy, Animation, Family|43|The Angry Birds Movie|10218470|0|2654|26261|3313
X-Men: Apocalypse|2016|PG-13|Fri May 27 2016 00:00:00 GMT-0400 (EDT)|144 min|Action; Adventure; Sci-Fi|Bryan Singer|James McAvoy; Michael Fassbender; Jennifer Lawrence; Nicholas Hoult|Since the dawn of civilization he was worshiped as a god Apocalypse the first and most powerful mutant from Marvels X-Men universe amassed the powers of many other mutants becoming immortal and invincible Upon awakening after thousands of years he is disillusioned with the world as he finds it and recruits a team of powerful mutants including a disheartened Magneto to cleanse mankind and create a new world order over which he will reign As the fate of the Earth hangs in the balance Raven with the help of Professor X must lead a team of young X-Men to stop their greatest nemesis and save mankind from complete destruction|English; Polish; German; Arabic; Egyptian (Ancient)|USA|1 win & 14 nominations|7.0/10|48%|52/100|52|7|movie|$135,729,385|20th Century Fox|X-Men: Apocalypse|27-May-16|Action, Adventure, Sci-Fi, Fantasy|52|X-Men: Apocalypse|30049891|0|24858|141287|7591
My Big Fat Greek Wedding 2|2016|PG-13|Fri Mar 25 2016 00:00:00 GMT-0400 (EDT)|94 min|Comedy; Family; Romance|Kirk Jones|Nia Vardalos; John Corbett; Michael Constantine; Lainie Kazan|Still working in her parents Greek restaurant Toula Portokalos daughter Paris is growing up She is getting ready to graduate high school and Toula and Ian are experiencing marital issues When Toulas parents find out they were never officially married another wedding is in the works Can this big fat Greek event help to bring the family together?|English; Greek|USA; Canada|3 nominations|6.0/10|28%|37/100|37|6|movie|$52,069,651|Gold Circle Films|My Big Fat Greek Wedding 2|25-Mar-16|Comedy, Romance, Family|37|My Big Fat Greek Wedding 2|28975|0|10|144|20
My Big Fat Greek Wedding 2|2016|PG-13|Fri Mar 25 2016 00:00:00 GMT-0400 (EDT)|94 min|Comedy; Family; Romance|Kirk Jones|Nia Vardalos; John Corbett; Michael Constantine; Lainie Kazan|Still working in her parents Greek restaurant Toula Portokalos daughter Paris is growing up She is getting ready to graduate high school and Toula and Ian are experiencing marital issues When Toulas parents find out they were never officially married another wedding is in the works Can this big fat Greek event help to bring the family together?|English; Greek|USA; Canada|3 nominations|6.0/10|28%|37/100|37|6|movie|$52,069,651|Gold Circle Films|My Big Fat Greek Wedding 2|25-Mar-16|Comedy, Romance, Family|37|My Big Fat Greek Wedding 2|28975|0|10|144|20
Alice Through the Looking Glass|2016|PG|Fri May 27 2016 00:00:00 GMT-0400 (EDT)|113 min|Adventure; Family; Fantasy|James Bobin|Johnny Depp; Mia Wasikowska; Helena Bonham Carter; Anne Hathaway|Alice returns to the magical world of Underland only to find the Hatter in a horrible state With the help of her friends Alice must travel through time to save the Mad Hatter and Underlands fate from the evil clutches of the Red Queen and a clock like creature known as Time|English|USA; UK|2 wins & 18 nominations|6.2/10|29%|34/100|34|6.2|movie|$77,037,635|Walt Disney Pictures|Alice Through the Looking Glass|27-May-16|Adventure, Fantasy, Family|34|Alice Through the Looking Glass|207997|0|71|1617|40
Ratchet & Clank|2016|PG|Fri Apr 29 2016 00:00:00 GMT-0400 (EDT)|94 min|Animation; Action; Adventure|Kevin Munroe; Jericca Cleland(co-director)|Paul Giamatti; John Goodman; Bella Thorne; Rosario Dawson|Ratchet and Clank tells the story of two unlikely heroes as they struggle to stop a vile alien named Chairman Drek from destroying every planet in the Solana Galaxy When the two stumble upon a dangerous weapon capable of destroying entire planets they must join forces with a team of colorful heroes called The Galactic Rangers in order to save the galaxy Along the way theyll learn about heroism friendship and the importance of discovering ones own identity|English|Hong Kong; Canada; USA|1 win & 6 nominations|5.6/10|17%|29/100|29|5.6|movie|N/A|Focus Features|Ratchet & Clank|29-Apr-16|Action, Adventure, Sci-Fi, Comedy, Animation, Family|29|Ratchet & Clank|26404|0|21|130|4
The Jungle Book|2016|PG|Fri Apr 15 2016 00:00:00 GMT-0400 (EDT)|106 min|Adventure; Drama; Family|Jon Favreau|Neel Sethi; Bill Murray; Ben Kingsley; Idris Elba|The man-cub Mowgli flees The jungle after a threat from the Tiger Shere Khan Guided by Bagheera the panther and the bear Baloo Mowgli embarks on a journey of self-discovery though he also meets creatures who dont have his best interests at heart|English|UK; USA|Won 1 Oscar Another 31 wins & 52 nominations|7.5/10|95%|77/100|77|7.5|movie|$363,995,937|Walt Disney Pictures|The Jungle Book|15-Apr-16|Adventure, Drama, Fantasy, Family, Musical|77|The Jungle Book|517286|0|241|1608|138
Popstar: Never Stop Never Stopping|2016|R|Fri Jun 03 2016 00:00:00 GMT-0400 (EDT)|87 min|Comedy; Music|Akiva Schaffer; Jorma Taccone|Andy Samberg; Jorma Taccone; Akiva Schaffer; Sarah Silverman|When his new album fails to sell records pop/rap superstar conner4real goes into a major tailspin and watches his celebrity high life begin to collapse Hell try anything to bounce back anything except reuniting with his old rap group The Style Boyz|English|USA|1 win & 6 nominations|6.7/10|78%|68/100|68|6.7|movie|N/A|Universal Pictures|Popstar: Never Stop Never Stopping|3-Jun-16|Comedy, Music|68|Popstar: Never Stop Never Stopping|4592924|0|1370|12836|4064
Popstar: Never Stop Never Stopping|2016|R|Fri Jun 03 2016 00:00:00 GMT-0400 (EDT)|87 min|Comedy; Music|Akiva Schaffer; Jorma Taccone|Andy Samberg; Jorma Taccone; Akiva Schaffer; Sarah Silverman|When his new album fails to sell records pop/rap superstar conner4real goes into a major tailspin and watches his celebrity high life begin to collapse Hell try anything to bounce back anything except reuniting with his old rap group The Style Boyz|English|USA|1 win & 6 nominations|6.7/10|78%|68/100|68|6.7|movie|N/A|Universal Pictures|Popstar: Never Stop Never Stopping|3-Jun-16|Comedy, Music|68|Popstar: Never Stop Never Stopping|4592924|0|1370|12836|4064
Finding Dory|2016|PG|Fri Jun 17 2016 00:00:00 GMT-0400 (EDT)|97 min|Animation; Adventure; Comedy|Andrew Stanton; Angus MacLane(co-director)|Ellen DeGeneres; Albert Brooks; Ed O'Neill; Kaitlin Olson|Dory is a wide-eyed blue tang fish who suffers from memory loss every 10 seconds or so The one thing she can remember is that she somehow became separated from her parents as a child With help from her friends Nemo and Marlin Dory embarks on an epic adventure to find them Her journey brings her to the Marine Life Institute a conservatory that houses diverse ocean species|English; Indonesian|USA|Nominated for 1 BAFTA Film Award Another 15 wins & 42 nominations|7.4/10|94%|77/100|77|7.4|movie|$486,292,984|Walt Disney Pictures/PIXAR|Finding Dory|17-Jun-16|Adventure, Comedy, Animation, Family|77|Finding Dory|3755222|0|1006|12774|405
Central Intelligence|2016|PG-13|Fri Jun 17 2016 00:00:00 GMT-0400 (EDT)|107 min|Action; Comedy; Crime|Rawson Marshall Thurber|Dwayne Johnson; Kevin Hart; Amy Ryan; Danielle Nicolet|Calvin Joyner was voted in high school the guy most likely to succeed 20 years later hes an accountant As his high school reunion approaches he tries to make contact with his old schoolmates And someone named Bob Stone contacts him He says that he was known as Robbie Weirdicht in school Calvin remembers that he was picked on as a matter of fact after an extremely nasty prank he left school They agree to meet and Calvin is surprised by how much he has changed Bob asks Calvin to help him out He says yes and the next thing he knows some men burst into his home Theyre CIA the one in charge is looking for Stone she says hes a rogue agent When they cant find Bob they leave Later he approaches Calvin telling him he is not a rogue agent hes trying to find a person known as the Black Badger who is planning to sell some information that in the wrong hands can be disastrous so he needs Calvins help to stop him Calvins not sure whom he should believe|English|USA|2 wins & 8 nominations|6.3/10|70%|52/100|52|6.3|movie|$127,380,061|Warner Bros. Pictures|Central Intelligence|17-Jun-16|Action, Comedy, Crime|52|Central Intelligence|110104|0|88|1592|31
A Hologram for the King|2016|R|Thu Apr 28 2016 00:00:00 GMT-0400 (EDT)|98 min|Comedy; Drama; Romance|Tom Tykwer|Tom Hanks; Alexander Black; Sarita Choudhury; Sidse Babett Knudsen|A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his companys product to a wealthy monarch|English; Arabic|UK; France; Germany; Mexico; USA|2 wins & 3 nominations|6.1/10|73%|58/100|58|6.1|movie|N/A|Roadside Attractions|A Hologram for the King|22-Apr-16|Drama, Comedy|58|A Hologram for the King|163668|0|2|19|15
Neighbors 2: Sorority Rising|2016|R|Fri May 20 2016 00:00:00 GMT-0400 (EDT)|92 min|Comedy|Nicholas Stoller|Seth Rogen; Zac Efron; Rose Byrne; Chloë Grace Moretz|Mac (Seth Rogen) and Kelly (Rose Byrne) are ready to make the final move into adulthood But just as they thought they have reclaimed the neighborhood they learn that their new neighbors are even more out of control than the last To evict them they will need help from their ex neighbor (Zac Efron)|English|USA|3 wins & 5 nominations|5.7/10|62%|58/100|58|5.7|movie|N/A|Universal Pictures|Neighbors 2: Sorority Rising|20-May-16|Comedy|58|Neighbors 2: Sorority Rising|17780837|0|8129|104632|5118
Neighbors 2: Sorority Rising|2016|R|Fri May 20 2016 00:00:00 GMT-0400 (EDT)|92 min|Comedy|Nicholas Stoller|Seth Rogen; Zac Efron; Rose Byrne; Chloë Grace Moretz|Mac (Seth Rogen) and Kelly (Rose Byrne) are ready to make the final move into adulthood But just as they thought they have reclaimed the neighborhood they learn that their new neighbors are even more out of control than the last To evict them they will need help from their ex neighbor (Zac Efron)|English|USA|3 wins & 5 nominations|5.7/10|62%|58/100|58|5.7|movie|N/A|Universal Pictures|Neighbors 2: Sorority Rising|20-May-16|Comedy|58|Neighbors 2: Sorority Rising|17780837|0|8129|104632|5118
The Nice Guys|2016|R|Fri May 20 2016 00:00:00 GMT-0400 (EDT)|116 min|Action; Comedy; Crime|Shane Black|Russell Crowe; Ryan Gosling; Angourie Rice; Matt Bomer|Set against the backdrop of 1977 Los Angeles The Nice Guys opens when single father and licensed PI Holland March (Gosling) is hired to investigate the apparent suicide of famous porn star Misty Mountains As the trail leads him to track down a girl named Amelia (Qualley) he encounters less licensed and less hands-off private eye Jackson Healey (Russell Crowe) and his brass knuckles both hired by the young hippie However the situation takes a turn for the worse when Amelia vanishes and it becomes apparent that March wasnt the only party interested As both men are forced to team up theyll have to take on a world filled with eccentric goons strippers dressed as mermaids and even a possible government conspiracy|English|USA|8 wins & 32 nominations|7.4/10|92%|70/100|70|7.4|movie|$32,261,515|Warner Bros. Pictures|The Nice Guys|20-May-16|Action, Mystery, Thriller, Comedy, Crime|70|The Nice Guys|1028536|0|204|5949|264
Zootopia|2016|PG|Fri Mar 04 2016 00:00:00 GMT-0500 (EST)|108 min|Animation; Adventure; Comedy|Byron Howard; Rich Moore; Jared Bush(co-director)|Ginnifer Goodwin; Jason Bateman; Idris Elba; Jenny Slate|From the largest elephant to the smallest shrew the city of Zootopia is a mammal metropolis where various animals live and thrive When Judy Hopps becomes the first rabbit to join the police force she quickly learns how tough it is to enforce the law Determined to prove herself Judy jumps at the opportunity to solve a mysterious case Unfortunately that means working with Nick Wilde a wily fox who makes her job even harder|English|USA|Won 1 Oscar Another 43 wins & 65 nominations|8.0/10|98%|78/100|78|8|movie|$341,264,012|Walt Disney Animation Studios|Zootopia|4-Mar-16|Action, Adventure, Comedy, Crime, Animation, Family|78|Zootopia|5879819|0|1385|10069|605
The BFG|2016|PG|Fri Jul 01 2016 00:00:00 GMT-0400 (EDT)|117 min|Adventure; Family; Fantasy|Steven Spielberg|Mark Rylance; Ruby Barnhill; Penelope Wilton; Jemaine Clement|Ten-year-old Sophie is in for the adventure of a lifetime when she meets the Big Friendly Giant Naturally scared at first the young girl soon realizes that the 24-foot behemoth is actually quite gentle and charming As their friendship grows Sophies presence attracts the unwanted attention of Bloodbottler Fleshlumpeater and other giants After traveling to London Sophie and the BFG must convince Queen Elizabeth to help them get rid of all the bad giants once and for all|English|USA; India|4 wins & 20 nominations|6.4/10|75%|66/100|66|6.4|movie|$55,472,665|Walt Disney Pictures|The BFG|1-Jul-16|Adventure, Fantasy, Family|66|The BFG|8666093|0|6595|29418|2093
Independence Day: Resurgence|2016|PG-13|Fri Jun 24 2016 00:00:00 GMT-0400 (EDT)|120 min|Action; Adventure; Sci-Fi|Roland Emmerich|Liam Hemsworth; Jeff Goldblum; Jessie T. Usher; Bill Pullman|Two decades after the freak alien invasion that nearly destroyed mankind a new threat emerges This Alien mothership is more than twice the size as the last one and once again the worlds armies must band together to save the world Do they have enough firepower or will this battle change and will aliens take over?|English; Mandarin|USA|3 wins & 16 nominations|5.2/10|31%|32/100|32|5.2|movie|$103,137,295|20th Century Fox|Independence Day: Resurgence|24-Jun-16|Action, Adventure, Sci-Fi|32|Independence Day: Resurgence|1866442|0|1160|5953|254
The Conjuring 2|2016|R|Fri Jun 10 2016 00:00:00 GMT-0400 (EDT)|134 min|Horror; Mystery; Thriller|James Wan|Patrick Wilson; Vera Farmiga; Madison Wolfe; Frances O'Connor|In 1977 paranormal investigators Ed and Lorraine Warren travel to London England where single mother Peggy Hodgson believes that something evil is in her home When Peggys youngest daughter starts showing signs of demonic possession Ed and Lorraine attempt to help the besieged girl only to find themselves targeted by the malicious spirits|English|Canada; USA|4 wins & 13 nominations|7.4/10|79%|65/100|65|7.4|movie|$102,461,593|Warner Bros. Pictures|The Conjuring 2|10-Jun-16|Mystery, Thriller, Horror|65|The Conjuring 2|22799694|0|10282|72000|3861
Keanu|2016|R|Fri Apr 29 2016 00:00:00 GMT-0400 (EDT)|100 min|Action; Comedy|Peter Atencio|Jordan Peele; Keegan-Michael Key; Tiffany Haddish; Method Man|Rells life is changed forever when a cute kitten comes to his door and he names it Keanu Unfortunately one weekend later Keanu is abducted by persons unknown Now Rell and his cousin Clarence are men on a mission to find Keanu against the odds Unfortunately those odds prove to be perilously high as they find Keanu in the care of the ruthless gangster Cheddar and he will only part with him for a price Now for that cute kitten these two middle class bumblers find themselves neck deep in a dangerous alien world of drugs and gang violence with only their desperate audacity creativity and sheer dumb luck giving them a chance to survive|English|USA|5 wins & 5 nominations|6.3/10|78%|63/100|63|6.3|movie|N/A|Warner Bros. Pictures|Keanu|29-Apr-16|Action, Comedy|63|Keanu|2581862|0|519|8500|365
The Shallows|2016|PG-13|Fri Jun 24 2016 00:00:00 GMT-0400 (EDT)|86 min|Drama; Horror; Thriller|Jaume Collet-Serra|Blake Lively; Óscar Jaenada; Angelo Josue Lozano Corzo; Joseph Salas|In the taut thriller The Shallows when Nancy (Blake Lively) is surfing on a secluded beach she finds herself on the feeding ground of a great white shark Though she is stranded only 200 yards from shore survival proves to be the ultimate test of wills requiring all of Nancys ingenuity resourcefulness and fortitude|English; Spanish|USA; Australia; Spain|15 nominations|6.3/10|78%|59/100|59|6.3|movie|$55,121,623|Ombra Films|The Shallows|24-Jun-16|Drama, Thriller, Horror|59|The Shallows|20078536|0|10994|64810|7624
Now You See Me 2|2016|PG-13|Fri Jun 10 2016 00:00:00 GMT-0400 (EDT)|129 min|Action; Adventure; Comedy|Jon M. Chu|Jesse Eisenberg; Mark Ruffalo; Woody Harrelson; Dave Franco|One year after outwitting the FBI and winning the publics adulation with their Robin Hood-style magic spectacles The Four Horsemen resurface for a comeback performance in hopes of exposing the unethical practices of a tech magnate The man behind their vanishing act is none other than Walter Mabry a tech prodigy who threatens the Horsemen into pulling off their most impossible heist yet Their only hope is to perform one last unprecedented stunt to clear their names and reveal the mastermind behind it all|English; Mandarin; Cantonese|France; USA|4 nominations|6.5/10|34%|46/100|46|6.5|movie|$65,030,563|Lionsgate|Now You See Me 2|10-Jun-16|Action, Adventure, Mystery, Thriller, Comedy, Crime|46|Now You See Me 2|8620078|0|2958|44127|1098
Free State of Jones|2016|R|Fri Jun 24 2016 00:00:00 GMT-0400 (EDT)|139 min|Action; Biography; Drama|Gary Ross|Matthew McConaughey; Gugu Mbatha-Raw; Mahershala Ali; Keri Russell|Set during the Civil War Free State of Jones tells the story of defiant Southern farmer Newt Knight and his extraordinary armed rebellion against the Confederacy Banding together with other small farmers and local slaves Knight launched an uprising that led Jones County Mississippi to secede from the Confederacy creating a Free State of Jones Knight continued his struggle into Reconstruction distinguishing him as a compelling if controversial figure of defiance long beyond the War|English|USA|3 wins & 4 nominations|6.9/10|46%|53/100|53|6.9|movie|N/A|STX Entertainment|Free State of Jones|24-Jun-16|Action, Biography, Drama, History, War|53|Free State of Jones|5289280|0|2187|6405|538
The Purge: Election Year|2016|R|Fri Jul 01 2016 00:00:00 GMT-0400 (EDT)|108 min|Action; Horror; Sci-Fi|James DeMonaco|Frank Grillo; Elizabeth Mitchell; Mykelti Williamson; Joseph Julian Soria|Its been seventeen years since Leo Barnes (Frank Grillo) stopped himself from a regrettable act of revenge on Purge Night Now serving as head of security for Senator Charlie Roan (Elizabeth Mitchell) his mission is to protect her in a run for president and survive the annual ritual that targets the poor and innocent But when a betrayal forces them onto the streets of DC on the one night when no help is available they must stay alive until dawnor both be sacrificed for their sins against the state|English|USA; France|6 nominations|6.0/10|53%|55/100|55|6|movie|N/A|Universal Pictures|The Purge: Election Year|1-Jul-16|Action, Sci-Fi, Thriller, Horror|55|The Purge: Election Year|8459682|0|8876|33098|2156
The Neon Demon|2016|R|Fri Jun 24 2016 00:00:00 GMT-0400 (EDT)|118 min|Horror; Thriller|Nicolas Winding Refn|Elle Fanning; Karl Glusman; Jena Malone; Bella Heathcote|The sixteen year-old aspiring model Jesse arrives in Los Angeles expecting to be a successful model The aspirant photographer Dean takes photos for her portfolio and dates her Jesse befriends the lesbian makeup artist Ruby and then the envious models Gigi and Sarah in a party Meanwhile the agency considers Jesse beautiful with a thing that makes her different and she is sent to the professional photographer Jack Jesse attracts he attention of the industry and has a successful beginning of career But Ruby Gigi and Sarah are capable to do anything to get her thing|English|Denmark; France; USA|18 wins & 31 nominations|6.2/10|58%|51/100|51|6.2|movie|N/A|Space Rocket Nation|The Neon Demon|24-Jun-16|Drama, Thriller, Horror|51|The Neon Demon|9176520|0|4902|34698|4158
Me Before You|2016|PG-13|Fri Jun 03 2016 00:00:00 GMT-0400 (EDT)|106 min|Drama; Romance|Thea Sharrock|Sam Claflin; Vanessa Kirby; Emilia Clarke; Eileen Dunwoodie|Lou Clark knows lots of things She knows how many footsteps there are between the bus stop and home She knows she likes working in The Buttered Bun tea shop and she knows she might not love her boyfriend Patrick What Lou doesnt know is shes about to lose her job or that knowing whats coming is what keeps her sane Will Traynor knows his motorcycle accident took away his desire to live He knows everything feels very small and rather joyless now and he knows exactly how hes going to put a stop to that What Will doesnt know is that Lou is about to burst into his world in a riot of color And neither of them knows theyre going to change each other for all time|English; French|UK; USA|6 wins & 6 nominations|7.4/10|57%|51/100|51|7.4|movie|$56,228,651|Warner Bros. Pictures|Me Before You|3-Jun-16|Drama, Romance|51|Me Before You|6784137|0|1811|30044|1073
Lights Out|2016|PG-13|Fri Jul 22 2016 00:00:00 GMT-0400 (EDT)|81 min|Horror|David F. Sandberg|Teresa Palmer; Gabriel Bateman; Alexander DiPersia; Billy Burke|A man called Paul is working after hours and is murdered by a supernatural entity in the shadow When his son the boy Martin is frightened by the same creature he sees his mother Sophie talking to an imaginary friend called Diana in the shadow of her room Martin does not sleep anymore during the night His older step sister Rebecca who lives alone is summoned by the social assistant She brings Martin home and recalls her own experience with Diana years ago when she was young Rebecca and her boyfriend Bret investigate the connection of Sophie with Diana and come up to a scary revelation about their past|English|USA|3 wins & 9 nominations|6.3/10|76%|58/100|58|6.3|movie|$67,235,683|RatPac-Dune Entertainment|Lights Out|22-Jul-16|Thriller, Fantasy, Horror|58|Lights Out|13906294|0|7446|85012|3299
The Secret Life of Pets|2016|PG|Fri Jul 08 2016 00:00:00 GMT-0400 (EDT)|87 min|Animation; Adventure; Comedy|Chris Renaud; Yarrow Cheney(co-director)|Louis C.K.; Eric Stonestreet; Kevin Hart; Jenny Slate|Taking place in a Manhattan apartment building Maxs life as a favorite pet is turned upside down when his owner brings home a sloppy mongrel named Duke They have to put their quarrels behind when they find out that an adorable white bunny named Snowball is building an army of lost pets determined to take revenge|English|Japan; USA|4 wins & 15 nominations|6.5/10|74%|61/100|61|6.5|movie|$368,305,960|Universal Pictures|The Secret Life of Pets|8-Jul-16|Adventure, Comedy, Animation, Family|61|The Secret Life of Pets|9756300|0|2196|24105|1544
Ice Age: Collision Course|2016|PG|Fri Jul 22 2016 00:00:00 GMT-0400 (EDT)|94 min|Animation; Adventure; Comedy|Mike Thurmeier; Galen T. Chu(co-director)|Stephanie Beatriz; Robert Cardone; Neil deGrasse Tyson; Adam Devine|Scrats epic pursuit of his elusive acorn catapults him outside of Earth where he accidentally sets off a series of cosmic events that transform and threaten the planet To save themselves from peril Manny Sid Diego and the rest of the herd leave their home and embark on a quest full of thrills and spills highs and lows laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters|English|USA|2 wins|5.7/10|16%|34/100|34|5.7|movie|$64,060,187|20th Century Fox|Ice Age: Collision Course|22-Jul-16|Action, Adventure, Sci-Fi, Comedy, Animation, Family|34|Ice Age: Collision Course|561503|0|203|4802|88
The Infiltrator|2016|R|Wed Jul 13 2016 00:00:00 GMT-0400 (EDT)|127 min|Biography; Crime; Drama|Brad Furman|Bryan Cranston; Leanne Best; Daniel Mays; Tom Vaughan-Lawlor|A US Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar|English; Spanish|UK|N/A|7.0/10|70%|66/100|66|7|movie|$15,425,870|Broad Green Pictures|The Infiltrator|13-Jul-16|Biography, Drama, Thriller, Crime|66|The Infiltrator|2204307|0|114|866|32
Nerve|2016|PG-13|Wed Jul 27 2016 00:00:00 GMT-0400 (EDT)|96 min|Action; Adventure; Crime|Henry Joost; Ariel Schulman|Emma Roberts; Dave Franco; Emily Meade; Miles Heizer|Nerve is about an online dare game in which people give participants anonymous dares for money The participants compete with each other to win the grand prize as the dares get tougher Things get worse when the tasks get increasingly dangerous and lives are at stake|English|USA|5 nominations|6.6/10|67%|58/100|58|6.6|movie|$38,562,379|Keep Your Head|Nerve|27-Jul-16|Adventure, Sci-Fi, Mystery, Thriller, Crime|58|Nerve|8570311|0|3693|31937|1227
Suicide Squad|2016|PG-13|Fri Aug 05 2016 00:00:00 GMT-0400 (EDT)|123 min|Action; Adventure; Fantasy|David Ayer|Will Smith; Jaime FitzSimons; Ike Barinholtz; Margot Robbie|It feels good to be badAssemble a team of the worlds most dangerous incarcerated Super Villains provide them with the most powerful arsenal at the governments disposal and send them off on a mission to defeat an enigmatic insuperable entity US intelligence officer Amanda Waller has determined only a secretly convened group of disparate despicable individuals with next to nothing to lose will do However once they realize they werent picked to succeed but chosen for their patent culpability when they inevitably fail will the Suicide Squad resolve to die trying or decide its every man for himself?|English; Japanese; Spanish|USA|Won 1 Oscar Another 16 wins & 37 nominations|6.1/10|26%|40/100|40|6.1|movie|$325,021,779|Warner Bros. Pictures|Suicide Squad|5-Aug-16|Action, Adventure, Sci-Fi, Thriller, Fantasy, Comedy, Crime|40|Suicide Squad|84362204|0|87903|651264|19921
Kubo and the Two Strings|2016|PG|Fri Aug 19 2016 00:00:00 GMT-0400 (EDT)|101 min|Animation; Adventure; Family|Travis Knight|Art Parkinson; Charlize Theron; Ralph Fiennes; Brenda Vaccaro|Kubo lives a quiet normal life in a small shoreside village until a spirit from the past turns his life upside down by re-igniting an age-old vendetta This causes all sorts of havoc as gods and monsters chase Kubo who in order to survive must locate a magical suit of armor once worn by his late father a legendary Samurai warrior|English|USA|Nominated for 2 Oscars Another 31 wins & 58 nominations|7.8/10|97%|84/100|84|7.8|movie|$48,019,281|Focus Features|Kubo and the Two Strings|19-Aug-16|Adventure, Fantasy, Animation, Family|84|Kubo and the Two Strings|6319206|0|3426|28815|1522
Sausage Party|2016|R|Fri Aug 12 2016 00:00:00 GMT-0400 (EDT)|89 min|Animation; Adventure; Comedy|Greg Tiernan; Conrad Vernon|Alistair Abell; Iris Apatow; Sugar Lyn Beard; Michael Cera|The products at Shopwells Grocery Store are made to believe a code that helps them live happy lives until its time for them to leave the comfort of the supermarket and head for the great beyond However after a botched trip to the great beyond leaves one sausage named Frank and his companion Bun stranded Frank goes to great lengths (pun intended) to return to his package and make another trip to the great beyond But as Franks journey takes him from one end of the supermarket to the other Franks quest to discover the truth about his existence as a sausage turns incredibly dark Can he expose the truth to the rest of the supermarket and get his fellow products to rebel against their human masters?|English|USA; Canada|1 win & 24 nominations|6.2/10|82%|66/100|66|6.2|movie|$97,661,826|Sony Pictures|Sausage Party|12-Aug-16|Adventure, Fantasy, Comedy, Animation|66|Sausage Party|4013267|0|1534|10858|796
Don't Breathe|2016|R|Fri Aug 26 2016 00:00:00 GMT-0400 (EDT)|88 min|Crime; Horror; Thriller|Fede Alvarez|Stephen Lang; Jane Levy; Dylan Minnette; Daniel Zovatto|Rocky a young woman wanting to start a better life for her and her sister agrees to take part in the robbery of a house owned by a wealthy blind man with her boyfriend Money and their friend Alex But when the blind man turns out to be a more ruthless adversary than he seems the group must find a way to escape his home before they become his latest victims|English; Ukrainian|USA|6 wins & 22 nominations|7.1/10|87%|71/100|71|7.1|movie|$89,210,468|Ghost House Pictures|Don't Breathe|26-Aug-16|Thriller, Horror, Crime|71|Don't Breathe|23133226|0|10040|63437|2557
