Title,ReleaseDate,Genre,Rating
Blood Diamond,8-Dec-06,"Action, Adventure, Drama, Thriller",64
The Holiday,8-Dec-06,"Comedy, Romance",52
Dreamgirls,15-Dec-06,"Drama, Musical",76
Eragon,15-Dec-06,"Action, Adventure, Fantasy, Family",38
The Pursuit of Happyness,15-Dec-06,"Biography, Drama",64
Rocky Balboa,20-Dec-06,"Drama, Sport",63
Night at the Museum,22-Dec-06,"Action, Adventure, Fantasy, Comedy, Family",48
We Are Marshall,22-Dec-06,"Drama, Sport",53
Children of Men,25-Dec-06,"Adventure, Sci-Fi, Drama, Mystery, Thriller",84
Notes on a Scandal,27-Dec-06,Drama,73
Arthur and the Invisibles,29-Dec-06,"Adventure, Fantasy, Family",39
Code Name: The Cleaner,5-Jan-07,"Action, Comedy, Crime",33
Freedom Writers,5-Jan-07,"Biography, Drama, Crime",64
Primeval,12-Jan-07,"Thriller, Horror",35
Stomp the Yard,12-Jan-07,"Drama, Romance, Musical",44
The Hitcher,19-Jan-07,"Action, Thriller, Horror, Crime",28
Seraphim Falls,26-Jan-07,"Drama, Thriller, War, Western",62
Smokin' Aces,26-Jan-07,"Action, Drama, Thriller, Crime",45
Because I Said So,2-Feb-07,"Comedy, Romance",26
The Messengers,2-Feb-07,"Drama, Thriller, Horror",34
The Last Sin Eater,9-Feb-07,Drama,37
Norbit,9-Feb-07,"Comedy, Romance",27
Music and Lyrics,14-Feb-07,"Comedy, Romance, Music",59
Breach,16-Feb-07,"Drama, Mystery, Thriller, Crime",74
Bridge to Terabithia,16-Feb-07,"Adventure, Drama, Fantasy, Family",74
Ghost Rider,16-Feb-07,"Action, Thriller, Fantasy",35
Reno 911!: Miami,23-Feb-07,"Comedy, Crime",47
Full of It,2-Mar-07,"Drama, Comedy",33
Wild Hogs,2-Mar-07,"Action, Adventure, Comedy",27
Zodiac,2-Mar-07,"Drama, Mystery, Thriller, Crime",78
Dead Silence,16-Mar-07,"Mystery, Thriller, Horror",34
I Think I Love My Wife,16-Mar-07,"Drama, Comedy, Romance",49
Premonition,16-Mar-07,"Drama, Mystery, Thriller, Fantasy",29
The Last Mimzy,23-Mar-07,"Adventure, Sci-Fi, Drama, Fantasy, Family",59
Reign Over Me,23-Mar-07,Drama,61
Shooter,23-Mar-07,"Action, Mystery, Thriller, Crime",53
TMNT,23-Mar-07,"Action, Adventure, Drama, Fantasy, Comedy, Animation, Family",41
What Love Is,23-Mar-07,Comedy,14
Blades of Glory,30-Mar-07,"Sport, Comedy, Romance",64
The Lookout,30-Mar-07,"Drama, Thriller, Crime",73
Meet the Robinsons,30-Mar-07,"Adventure, Sci-Fi, Comedy, Animation, Family",61
Are We Done Yet?,4-Apr-07,"Drama, Comedy, Family",36
Firehouse Dog,4-Apr-07,"Action, Comedy, Family",43
The Reaping,5-Apr-07,"Thriller, Horror",36
Grindhouse,6-Apr-07,"Action, Thriller",77
The Hoax,6-Apr-07,"Drama, Comedy",70
Disturbia,11-Apr-07,"Mystery, Thriller",62
Aqua Teen Hunger Force Colon Movie Film for Theaters,13-Apr-07,"Action, Adventure, Sci-Fi, Fantasy, Comedy, Animation",54
Pathfinder,13-Apr-07,"Action, Adventure, Drama, History, Thriller, War",29
Perfect Stranger,13-Apr-07,"Drama, Mystery, Thriller, Crime",31
Redline,13-Apr-07,Action,24
Year of the Dog,13-Apr-07,"Drama, Comedy",70
Fracture,20-Apr-07,"Drama, Mystery, Thriller, Crime",68
In the Land of Women,20-Apr-07,"Drama, Comedy, Romance",47
Vacancy,20-Apr-07,"Mystery, Thriller, Horror",54
Kickin It Old Skool,27-Apr-07,Comedy,18
Wind Chill,27-Apr-07,"Drama, Thriller, Horror",52
Waitress,2-May-07,"Drama, Comedy, Romance",75
Lucky You,4-May-07,"Drama, Sport, Romance",49
Spider-Man 3,4-May-07,"Action, Thriller",59
Delta Farce,11-May-07,"Action, Adventure, Comedy",17
Georgia Rule,11-May-07,"Drama, Comedy, Romance",25
ShowBusiness: The Road to Broadway,11-May-07,Documentary,73
Brooklyn Rules,18-May-07,"Drama, Crime",53
Shrek the Third,18-May-07,"Adventure, Fantasy, Comedy, Animation, Family",58
Gracie,1-Jun-07,"Drama, Sport",52
Knocked Up,1-Jun-07,"Comedy, Romance",85
Mr. Brooks,1-Jun-07,"Drama, Mystery, Thriller, Crime",45
Hostel: Part II,8-Jun-07,"Thriller, Horror",46
Fantastic Four: Rise of the Silver Surfer,15-Jun-07,"Action, Adventure, Sci-Fi, Thriller, Fantasy",45
Nancy Drew,15-Jun-07,"Adventure, Mystery, Thriller, Comedy, Crime, Family",53
1408,22-Jun-07,"Thriller, Horror",64
Broken English,22-Jun-07,"Drama, Comedy, Romance",61
Evan Almighty,22-Jun-07,"Fantasy, Comedy, Family",37
A Mighty Heart,22-Jun-07,"Biography, Drama, History, Thriller, War",74
You Kill Me,22-Jun-07,"Thriller, Comedy, Romance, Crime",64
Live Free or Die Hard,27-Jun-07,"Action, Thriller, Crime",69
Ratatouille,29-Jun-07,"Fantasy, Comedy, Animation, Family",96
Sicko,29-Jun-07,"Drama, History, Documentary",74
License to Wed,3-Jul-07,"Comedy, Romance",25
Joshua,6-Jul-07,"Drama, Thriller",69
Harry Potter and the Order of the Phoenix,11-Jul-07,"Adventure, Mystery, Fantasy, Family",71
Captivity,13-Jul-07,"Thriller, Horror, Crime",24
Talk to Me,13-Jul-07,"Biography, Drama, History, War, Music",69
Hairspray,20-Jul-07,"Comedy, Romance, Musical",81
I Now Pronounce You Chuck & Larry,20-Jul-07,"Comedy, Romance",37
Arctic Tale,25-Jul-07,"Family, Documentary",64
I Know Who Killed Me,27-Jul-07,"Mystery, Thriller, Crime",16
No End in Sight,27-Jul-07,"War, Documentary",89
No Reservations,27-Jul-07,"Drama, Comedy, Romance",50
The Simpsons Movie,27-Jul-07,"Adventure, Comedy, Animation",80
The Bourne Ultimatum,3-Aug-07,"Action, Adventure, Mystery, Thriller",85
Hot Rod,3-Aug-07,Comedy,43
Daddy Day Camp,8-Aug-07,"Comedy, Family",13
Rocket Science,10-Aug-07,"Drama, Comedy",73
Rush Hour 3,10-Aug-07,"Action, Thriller, Comedy, Crime",44
Stardust,10-Aug-07,"Adventure, Fantasy, Romance, Family",66
The King of Kong: A Fistful of Quarters,17-Aug-07,"Sport, Documentary",83
Manda Bala (Send a Bullet),17-Aug-07,Documentary,71
Superbad,17-Aug-07,Comedy,76
The Nanny Diaries,24-Aug-07,"Drama, Comedy, Romance",46
Resurrecting the Champ,24-Aug-07,"Drama, Sport",55
Balls of Fury,29-Aug-07,"Action, Sport, Comedy, Romance, Crime",38
Death Sentence,31-Aug-07,"Action, Drama, Thriller",36
The Brothers Solomon,7-Sep-07,Comedy,32
The Hunting Party,7-Sep-07,"Adventure, Drama, Thriller, Comedy, War",54
Shoot 'Em Up,7-Sep-07,"Action, Adventure, Thriller, Comedy, Crime",49
Across the Universe,14-Sep-07,"Adventure, Drama, Romance, Musical",56
The Brave One,14-Sep-07,"Drama, Thriller, Crime",56
Eastern Promises,14-Sep-07,"Drama, Mystery, Thriller, Crime",82
In the Valley of Elah,14-Sep-07,"Drama, Mystery, Thriller, Crime",65
Mr. Woodcock,14-Sep-07,"Sport, Comedy",41
The Assassination of Jesse James by the Coward Robert Ford,21-Sep-07,"Biography, Drama, History, Crime, Western",68
Good Luck Chuck,21-Sep-07,"Drama, Comedy, Romance",19
Into the Wild,21-Sep-07,"Adventure, Biography, Drama",73
Resident Evil: Extinction,21-Sep-07,"Action, Sci-Fi, Thriller, Fantasy, Horror",41
The Game Plan,28-Sep-07,"Sport, Comedy, Family",44
"Lust, Caution",28-Sep-07,"Drama, Thriller, Romance, War",61
Lake of Fire,3-Oct-07,Documentary,83
Feel the Noise,5-Oct-07,"Drama, Music",36
Finishing the Game: The Search for a New Bruce Lee,5-Oct-07,Comedy,46
For the Bible Tells Me So,5-Oct-07,Documentary,73
The Heartbreak Kid,5-Oct-07,"Comedy, Romance",46
Michael Clayton,5-Oct-07,"Drama, Mystery, Thriller, Crime",82
Strange Culture,5-Oct-07,Documentary,70
Lars and the Real Girl,12-Oct-07,"Drama, Comedy",70
Sleuth,12-Oct-07,"Drama, Mystery, Thriller",49
We Own the Night,12-Oct-07,"Drama, Thriller, Crime",59
30 Days of Night,19-Oct-07,"Thriller, Horror",53
