Title,ReleaseDate,Genre,Rating
The Company You Keep,5-Apr-13,"Drama, Thriller",57
Upstream Color,5-Apr-13,"Sci-Fi, Drama",81
Disconnect,12-Apr-13,"Drama, Thriller",64
Scary Movie 5,12-Apr-13,"Thriller, Horror, Comedy",11
The Lords of Salem,19-Apr-13,"Thriller, Horror",57
Oblivion,19-Apr-13,"Action, Adventure, Sci-Fi, Mystery, Thriller",54
At Any Price,26-Apr-13,"Adventure, Drama, Thriller, Family",61
Arthur Newman,26-Apr-13,"Drama, Comedy",42
Pain & Gain,26-Apr-13,"Action, Drama, Thriller, Comedy, Crime",45
Greetings from Tim Buckley,3-May-13,Drama,57
The Iceman,3-May-13,"Biography, Drama, Thriller, Crime",60
Iron Man 3,3-May-13,"Action, Adventure, Sci-Fi, Thriller, Fantasy",62
Kiss of the Damned,3-May-13,Horror,48
Aftershock,10-May-13,"Adventure, Thriller, Horror, Crime",39
Assault on Wall Street,10-May-13,"Drama, Thriller",24
The Great Gatsby,10-May-13,"Drama, Romance",55
Java Heat,10-May-13,"Action, Drama, Thriller, Crime",35
No One Lives,10-May-13,"Thriller, Horror",26
Star Trek Into Darkness,15-May-13,"Action, Adventure, Sci-Fi, Thriller",72
Black Rock,17-May-13,"Thriller, Horror",46
The English Teacher,17-May-13,"Drama, Comedy",42
Erased,17-May-13,"Action, Thriller",34
Frances Ha,17-May-13,"Drama, Comedy",82
3 Geezers!,22-May-13,Comedy,9
The Hangover Part III,23-May-13,Comedy,30
Before Midnight,24-May-13,"Drama, Romance",94
Fast & Furious 6,24-May-13,"Action, Adventure, Thriller, Crime",61
We Steal Secrets: The Story of WikiLeaks,24-May-13,"Comedy, Documentary",76
After Earth,31-May-13,"Action, Adventure, Sci-Fi, Mystery",33
The Kings of Summer,31-May-13,Comedy,61
Now You See Me,31-May-13,"Mystery, Thriller, Crime",50
Dirty Wars,7-Jun-13,"Drama, Documentary",76
The Internship,7-Jun-13,Comedy,42
Much Ado About Nothing,7-Jun-13,"Drama, Comedy, Romance",78
The Purge,7-Jun-13,"Sci-Fi, Thriller, Horror",41
Rapture-Palooza,7-Jun-13,"Fantasy, Horror, Comedy",44
Violet & Daisy,7-Jun-13,"Action, Drama, Thriller, Comedy, Crime",43
This Is the End,12-Jun-13,"Action, Sci-Fi, Fantasy, Comedy",67
20 Feet from Stardom,14-Jun-13,Documentary,83
The Bling Ring,14-Jun-13,"Drama, Comedy, Crime",66
Hatchet III,14-Jun-13,"Action, Thriller, Horror, Comedy",25
Man of Steel,14-Jun-13,"Action, Adventure, Sci-Fi, Fantasy",55
Vehicle 19,14-Jun-13,Thriller,29
Monsters University,21-Jun-13,"Adventure, Fantasy, Comedy, Animation, Family",65
World War Z,21-Jun-13,"Action, Adventure, Sci-Fi, Drama, Thriller, Horror",63
Despicable Me 2,3-Jul-13,"Adventure, Sci-Fi, Comedy, Crime, Animation, Family",62
Kevin Hart: Let Me Explain,3-Jul-13,"Comedy, Documentary",53
The Lone Ranger,3-Jul-13,"Action, Adventure, Western",37
Hammer of the Gods,5-Jul-13,Action,44
Stuck in Love,5-Jul-13,"Drama, Comedy",49
Fruitvale Station,12-Jul-13,"Biography, Drama",85
Grown Ups 2,12-Jul-13,Comedy,19
The Hot Flashes,12-Jul-13,Comedy,36
Killing Season,12-Jul-13,"Action, Drama, Thriller, War",25
Pawn Shop Chronicles,12-Jul-13,"Action, Drama, Comedy, Crime",26
Computer Chess,17-Jul-13,Comedy,74
Blackfish,19-Jul-13,"Drama, Documentary",83
The Conjuring,19-Jul-13,"Biography, Thriller, Horror",68
Girl Most Likely,19-Jul-13,Comedy,38
RED 2,19-Jul-13,"Action, Thriller, Comedy, Crime",47
R.I.P.D.,19-Jul-13,"Action, Fantasy, Comedy, Crime",25
Blue Jasmine,26-Jul-13,"Drama, Comedy",78
The Smurfs 2,31-Jul-13,"Fantasy, Comedy, Animation, Family",34
2 Guns,2-Aug-13,"Action, Drama, Thriller, Comedy, Crime",55
The Canyons,2-Aug-13,"Drama, Thriller",36
Europa Report,2-Aug-13,"Sci-Fi, Thriller, Horror",68
The Spectacular Now,2-Aug-13,"Drama, Comedy, Romance",82
Percy Jackson: Sea of Monsters,7-Aug-13,"Action, Adventure, Drama, Fantasy, Family",39
Elysium,9-Aug-13,"Action, Sci-Fi, Drama, Thriller",61
Jug Face,9-Aug-13,"Drama, Thriller, Horror",58
Lovelace,9-Aug-13,"Biography, Drama",51
Planes,9-Aug-13,"Adventure, Comedy, Animation, Family",39
Prince Avalanche,9-Aug-13,"Drama, Comedy",73
Kick-Ass 2,16-Aug-13,"Action, Thriller, Comedy, Crime",41
Lee Daniels' The Butler,16-Aug-13,"Biography, Drama, History",66
Cutie and the Boxer,16-Aug-13,Documentary,83
Kick-Ass 2,16-Aug-13,"Action, Thriller, Comedy, Crime",41
Paranoia,16-Aug-13,"Drama, Thriller",32
Standing Up,16-Aug-13,Family,40
The Mortal Instruments: City of Bones,21-Aug-13,"Action, Adventure, Drama, Mystery, Fantasy, Romance",33
Drinking Buddies,23-Aug-13,"Drama, Comedy, Romance",71
The Frozen Ground,23-Aug-13,"Biography, History, Thriller, Crime",37
Savannah,23-Aug-13,"Drama, History, Family",25
Scenic Route,23-Aug-13,"Drama, Thriller",34
Short Term 12,23-Aug-13,Drama,82
The Lifeguard,30-Aug-13,"Drama, Comedy, Romance",34
One Direction: This Is Us,30-Aug-13,"Music, Documentary",49
Best Kept Secret,6-Sep-13,"Drama, Documentary",100
Bounty Killer,6-Sep-13,"Action, Sci-Fi, Thriller",46
Hell Baby,6-Sep-13,"Horror, Comedy",41
Riddick,6-Sep-13,"Action, Sci-Fi, Thriller",49
Salinger,6-Sep-13,Documentary,40
Blue Caprice,13-Sep-13,"Drama, Crime",76
Insidious: Chapter 2,13-Sep-13,"Thriller, Horror",40
Enough Said,18-Sep-13,Comedy,78
Battle of the Year,20-Sep-13,Music,29
Generation Iron,20-Sep-13,"Drama, Sport, Documentary",61
Prisoners,20-Sep-13,"Drama, Thriller, Crime",74
A Single Shot,20-Sep-13,"Drama, Thriller, Crime",53
Baggage Claim,27-Sep-13,Comedy,34
Cloudy with a Chance of Meatballs 2,27-Sep-13,"Sci-Fi, Fantasy, Comedy, Animation, Family",59
Don Jon,27-Sep-13,"Drama, Comedy, Romance",66
Inequality for All,27-Sep-13,Documentary,68
Metallica: Through the Never,27-Sep-13,"Action, Music, Musical",61
We Are What We Are,27-Sep-13,"Drama, Thriller, Horror",71
Out in the Dark,27-Sep-13,"Drama, Romance",69
Let the Fire Burn,2-Oct-13,"Drama, History, Thriller, Documentary",86
A.C.O.D.,4-Oct-13,Comedy,50
Bridegroom,4-Oct-13,Documentary,85
CBGB,4-Oct-13,"Drama, History, Music",30
Five Dances,4-Oct-13,"Drama, Romance, Music",51
Grace Unplugged,4-Oct-13,"Drama, Music",39
Gravity,4-Oct-13,"Sci-Fi, Drama, Mystery, Thriller",96
I Used to Be Darker,4-Oct-13,"Drama, Music, Family",69
Parkland,4-Oct-13,"Drama, Mystery, Thriller",51
Machete Kills,11-Oct-13,"Action, Thriller, Crime",41
Captain Phillips,11-Oct-13,"Action, Adventure, Biography, Drama, Thriller, Crime",83
The Inevitable Defeat of Mister and Pete,11-Oct-13,Drama,61
Machete Kills,11-Oct-13,"Action, Thriller, Crime",41
Sweetwater,11-Oct-13,"Thriller, Western",38
Zero Charisma,11-Oct-13,Comedy,63
Kill Your Darlings,16-Oct-13,"Biography, Drama, Thriller, Romance",65
Camille Claudel 1915,16-Oct-13,"Biography, Drama",65
12 Years a Slave,18-Oct-13,"Biography, Drama, History",96
All Is Lost,18-Oct-13,"Action, Adventure, Drama",87
Big Ass Spider!,18-Oct-13,"Sci-Fi, Comedy",53
Carrie,18-Oct-13,"Sci-Fi, Drama, Horror",53
Escape Plan,18-Oct-13,"Action, Sci-Fi, Drama, Mystery, Thriller, Crime",49
The Fifth Estate,18-Oct-13,"Biography, Drama, Thriller, Documentary",49
The Counselor,25-Oct-13,"Drama, Thriller, Crime",48
I Am Divine,25-Oct-13,Documentary,70
Jackass Presents: Bad Grandpa,25-Oct-13,"Comedy, Documentary",54
A Perfect Man,1-Nov-13,Drama,31
Angels Sing,1-Nov-13,"Drama, Comedy, Family",39
Big Sur,1-Nov-13,Drama,49
Dallas Buyers Club,1-Nov-13,"Biography, Drama, History",84
Free Birds,1-Nov-13,"Adventure, Comedy, Animation, Family",38
Last Vegas,1-Nov-13,Comedy,48
Ass Backwards,8-Nov-13,"Adventure, Comedy",37
Best Man Down,8-Nov-13,"Drama, Comedy",36
The Book Thief,8-Nov-13,"Drama, War",53
Go for Sisters,8-Nov-13,"Drama, Thriller, Crime",59
Medora,8-Nov-13,"Sport, Documentary",64
Thor: The Dark World,8-Nov-13,"Action, Adventure, Fantasy",54
The Best Man Holiday,15-Nov-13,"Drama, Comedy",59
Charlie Countryman,15-Nov-13,"Action, Drama, Thriller, Comedy, Romance",31
Geography Club,15-Nov-13,Comedy,57
Nebraska,15-Nov-13,"Adventure, Drama",86
Sunlight Jr.,15-Nov-13,Drama,61
Contracted,22-Nov-13,"Drama, Thriller, Horror",48
The Hunger Games: Catching Fire,22-Nov-13,"Action, Adventure, Sci-Fi, Drama, Thriller",76
Philomena,22-Nov-13,Drama,77
Frozen,27-Nov-13,"Action, Adventure, Mystery, Thriller, Fantasy, Comedy, Romance, Animation, Family, Musical",74
Black Nativity,27-Nov-13,"Drama, Musical",48
Frozen,27-Nov-13,"Action, Adventure, Mystery, Thriller, Fantasy, Comedy, Romance, Animation, Family, Musical",74
Homefront,27-Nov-13,"Action, Thriller, Crime",40
Oldboy,27-Nov-13,"Action, Drama, Mystery, Thriller",49
The Punk Singer,29-Nov-13,Documentary,75
Out of the Furnace,4-Dec-13,"Drama, Thriller, Crime",63
Inside Llewyn Davis,6-Dec-13,"Drama, Music",93
White Reindeer,6-Dec-13,"Drama, Comedy",69
American Hustle,13-Dec-13,"Drama, History, Thriller, Crime",90
The Hobbit: The Desolation of Smaug,13-Dec-13,"Adventure, Drama, Fantasy",66
Tyler Perry's A Madea Christmas,13-Dec-13,"Drama, Comedy",28
Saving Mr. Banks,13-Dec-13,"Biography, Drama, History, Comedy, Music, Family",65
Some Velvet Morning,13-Dec-13,Drama,54
Anchorman 2: The Legend Continues,18-Dec-13,Comedy,61
Walking with Dinosaurs,20-Dec-13,"Action, Adventure, Animation, Family, Documentary",37
Wrong Cops,20-Dec-13,"Comedy, Crime",25
47 Ronin,25-Dec-13,"Action, Adventure, Drama, Fantasy",28
August: Osage County,25-Dec-13,"Drama, Comedy",58
Grudge Match,25-Dec-13,"Sport, Comedy",35
The Secret Life of Walter Mitty,25-Dec-13,"Adventure, Drama, Fantasy, Comedy",54
The Wolf of Wall Street,25-Dec-13,"Biography, Drama, Comedy, Crime",75
The Wolf of Wall Street,25-Dec-13,"Biography, Drama, Comedy, Crime",75
Lone Survivor,27-Dec-13,"Action, Biography, Drama, Thriller, War",60
Labor Day,27-Dec-13,Drama,52
Paranormal Activity: The Marked Ones,3-Jan-14,"Thriller, Horror",42
Open Grave,3-Jan-14,"Mystery, Thriller, Horror",33
Cold Comes the Night,10-Jan-14,"Drama, Thriller, Crime",37
Dumbbells,10-Jan-14,Comedy,24
The Legend of Hercules,10-Jan-14,"Action, Adventure",22
Raze,10-Jan-14,"Action, Horror",41
Jack Ryan: Shadow Recruit,17-Jan-14,"Action, Drama, Mystery, Thriller",57
Jamesy Boy,17-Jan-14,"Biography, Drama, Romance, Crime, Music, Family",29
That Awkward Moment,31-Jan-14,"Comedy, Romance",36
Somewhere Slow,31-Jan-14,"Drama, Comedy, Romance",48
The Pretty One,7-Feb-14,"Drama, Comedy",53
The Monuments Men,7-Feb-14,"Action, Adventure, Biography, Drama, History, Thriller, Comedy, War",52
After the Dark,7-Feb-14,"Sci-Fi, Drama, Thriller, Fantasy",37
Nurse 3D,7-Feb-14,"Thriller, Horror",29
The Pretty One,7-Feb-14,"Drama, Comedy",53
Vampire Academy,7-Feb-14,"Action, Mystery, Fantasy, Horror, Comedy",31
Someone Marry Barry,7-Feb-14,Comedy,52
RoboCop,12-Feb-14,"Action, Sci-Fi, Thriller, Crime",52
About Last Night,14-Feb-14,"Drama, Comedy, Romance",62
Adult World,14-Feb-14,Comedy,61
Date and Switch,14-Feb-14,Comedy,56
Endless Love,14-Feb-14,"Drama, Romance",30
3 Days to Kill,21-Feb-14,"Action, Drama, Thriller, Crime",40
Angels in Stardust,21-Feb-14,"Drama, Comedy",34
Barefoot,21-Feb-14,"Drama, Comedy, Romance",22
The Bag Man,28-Feb-14,"Drama, Thriller, Crime",28
Non-Stop,28-Feb-14,"Action, Mystery, Thriller",56
Son of God,28-Feb-14,Drama,37
The Face of Love,7-Mar-14,"Drama, Comedy, Romance",51
300: Rise of an Empire,7-Mar-14,"Action, Drama, Fantasy, War",48
Mr. Peabody & Sherman,7-Mar-14,"Adventure, Sci-Fi, Comedy, Animation, Family",59
Better Living Through Chemistry,14-Mar-14,"Drama, Comedy",40
Need For Speed,14-Mar-14,"Action, Drama, Thriller, Crime",39
Tyler Perry's The Single Moms Club,14-Mar-14,"Drama, Comedy",31
Veronica Mars,14-Mar-14,"Drama, Mystery, Comedy, Crime",62
McCanick,21-Mar-14,"Drama, Mystery, Thriller, Crime",28
Divergent,21-Mar-14,"Action, Adventure, Sci-Fi, Drama, Romance",48
Muppets Most Wanted,21-Mar-14,"Adventure, Comedy, Crime, Family, Musical",61
Noah,28-Mar-14,"Action, Adventure, Drama, Fantasy",68
Sabotage,28-Mar-14,"Action, Drama, Thriller, Crime",41
The Unknown Known,2-Apr-14,Documentary,69
Alien Abduction,4-Apr-14,"Sci-Fi, Thriller, Horror",47
Captain America: The Winter Soldier,4-Apr-14,"Action, Adventure, Sci-Fi, Thriller",70
Hateship Loveship,11-Apr-14,Drama,59
Draft Day,11-Apr-14,"Drama, Sport",54
Oculus,11-Apr-14,Horror,61
Rio 2,11-Apr-14,"Adventure, Comedy, Animation, Family",49
Heaven Is for Real,16-Apr-14,Drama,47
Transcendence,17-Apr-14,"Action, Sci-Fi, Drama, Mystery, Thriller",42
Authors Anonymous,18-Apr-14,Comedy,16
A Haunted House 2,18-Apr-14,"Horror, Comedy",17
Kid Cannabis,18-Apr-14,"Drama, Crime",54
13 Sins,18-Apr-14,"Thriller, Horror",44
Blue Ruin,25-Apr-14,Thriller,77
Brick Mansions,25-Apr-14,"Action, Drama, Crime",40
The Other Woman,25-Apr-14,"Comedy, Romance",39
Walking with the Enemy,25-Apr-14,"Action, Drama, History, Romance, War",44
The Amazing Spider-Man 2,2-May-14,"Action, Adventure, Fantasy",53
Bad Johnson,2-May-14,"Fantasy, Comedy",25
Decoding Annie Parker,2-May-14,Drama,56
Walk of Shame,2-May-14,Comedy,25
Moms' Night Out,9-May-14,Comedy,25
Stage Fright,9-May-14,"Horror, Musical",39
Godzilla,16-May-14,"Action, Adventure, Sci-Fi, Thriller, Fantasy",62
Million Dollar Arm,16-May-14,"Biography, Drama, Sport",56
50 to 1,23-May-14,Drama,37
The Angriest Man in Brooklyn,23-May-14,"Drama, Comedy",21
Blended,23-May-14,Comedy,31
Cold in July,23-May-14,"Drama, Thriller, Crime",73
X-Men: Days of Future Past,23-May-14,"Action, Adventure, Sci-Fi, Thriller, Fantasy",74
Lucky Them,30-May-14,Drama,65
Maleficent,30-May-14,"Action, Adventure, Drama, Mystery, Thriller, Fantasy, Romance, Family",56
A Million Ways to Die in the West,30-May-14,"Comedy, Western",44
Edge of Tomorrow,6-Jun-14,"Action, Sci-Fi",71
The Fault in Our Stars,6-Jun-14,"Drama, Romance",69
Ping Pong Summer,6-Jun-14,Comedy,52
Obvious Child,6-Jun-14,"Comedy, Romance",76
22 Jump Street,13-Jun-14,"Action, Comedy, Crime",71
Hellion,13-Jun-14,"Drama, Thriller",55
How to Train Your Dragon 2,13-Jun-14,"Action, Adventure, Fantasy, Comedy, Animation, Family",76
The Signal,13-Jun-14,"Sci-Fi, Thriller",54
Jersey Boys,20-Jun-14,"Biography, Drama, Music, Musical",54
Think Like a Man Too,20-Jun-14,"Comedy, Romance",38
They Came Together,27-Jun-14,Comedy,60
Transformers: Age Of Extinction,27-Jun-14,"Action, Adventure, Sci-Fi",32
America: Imagine a World Without Her,2-Jul-14,Documentary,15
Deliver Us From Evil,2-Jul-14,"Action, Thriller, Horror, Crime",40
Earth to Echo,2-Jul-14,"Adventure, Sci-Fi, Family",53
Tammy,2-Jul-14,Comedy,39
Boyhood,11-Jul-14,Drama,100
Dawn of the Planet of the Apes,11-Jul-14,"Action, Sci-Fi, Drama, Thriller",79
Rage,11-Jul-14,"Action, Thriller, Crime",28
Road to Paloma,11-Jul-14,"Drama, Thriller",44
Boyhood,11-Jul-14,Drama,100
I Origins,18-Jul-14,"Sci-Fi, Drama",57
Persecuted,18-Jul-14,"Action, Drama, Mystery, Thriller",11
Planes: Fire & Rescue,18-Jul-14,"Adventure, Comedy, Animation, Family",48
The Purge: Anarchy,18-Jul-14,"Action, Thriller, Horror",50
Sex Tape,18-Jul-14,"Drama, Comedy",36
Wish I Was Here,18-Jul-14,"Drama, Comedy",43
And So It Goes,25-Jul-14,"Drama, Comedy, Romance",38
Happy Christmas,25-Jul-14,"Drama, Comedy",70
Hercules,25-Jul-14,"Action, Adventure",47
Magic in the Moonlight,25-Jul-14,"Drama, Comedy, Romance",54
My Man Is a Loser,25-Jul-14,Comedy,19
Get On Up,1-Aug-14,"Biography, Drama, Music",71
4 Minute Mile,1-Aug-14,Drama,48
The Hundred-Foot Journey,8-Aug-14,"Drama, Romance",55
Into the Storm,8-Aug-14,"Action, Thriller",44
Step Up: All In,8-Aug-14,"Drama, Romance, Music",45
The Expendables 3,15-Aug-14,"Action, Adventure, Thriller",35
The Giver,15-Aug-14,"Sci-Fi, Drama, Fantasy",47
Life After Beth,15-Aug-14,"Drama, Fantasy, Horror, Comedy, Romance",50
Kink,22-Aug-14,"Biography, Documentary",67
Are You Here,22-Aug-14,Comedy,37
The One I Love,22-Aug-14,"Drama, Comedy, Romance",66
Sin City: A Dame To Kill For,22-Aug-14,"Action, Thriller, Crime",46
The Last of Robin Hood,29-Aug-14,"Biography, Drama",46
Last Weekend,29-Aug-14,"Drama, Comedy",40
Life of Crime,29-Aug-14,"Comedy, Crime",60
"As Above, So Below",29-Aug-14,"Thriller, Horror",38
Last Days in Vietnam,5-Sep-14,"History, War, Documentary",86
Dolphin Tale 2,12-Sep-14,"Drama, Family",58
Dolphin Tale 2,12-Sep-14,"Drama, Family",58
Honeymoon,12-Sep-14,"Sci-Fi, Thriller, Horror, Romance",65
No Good Deed,12-Sep-14,"Thriller, Horror, Crime",26
The Skeleton Twins,12-Sep-14,Drama,74
The Guest,17-Sep-14,"Action, Mystery, Thriller",76
A Walk Among the Tombstones,19-Sep-14,"Action, Drama, Mystery, Thriller, Crime",57
The Scribbler,19-Sep-14,"Sci-Fi, Mystery, Thriller",32
This Is Where I Leave You,19-Sep-14,"Drama, Comedy",44
Tusk,19-Sep-14,"Drama, Horror, Comedy",55
The Boxtrolls,26-Sep-14,"Adventure, Fantasy, Comedy, Animation, Family",61
The Equalizer,26-Sep-14,"Action, Thriller, Crime",57
The Two Faces of January,26-Sep-14,Thriller,66
Gone Girl,3-Oct-14,"Drama, Mystery, Thriller",79
Gone Girl,3-Oct-14,"Drama, Mystery, Thriller",79
The Good Lie,3-Oct-14,Drama,65
Left Behind,3-Oct-14,"Action, Sci-Fi, Thriller",12
Kill the Messenger,10-Oct-14,"Biography, Drama, Mystery, Thriller, Crime",60
Addicted,10-Oct-14,"Drama, Thriller",32
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10-Oct-14,"Comedy, Family",54
Dracula Untold,10-Oct-14,"Action, Drama, Fantasy, Horror, War",40
The Judge,10-Oct-14,Drama,48
Whiplash,10-Oct-14,"Drama, Music",88
Birdman or (The Unexpected Virtue of Ignorance),17-Oct-14,"Drama, Comedy",88
The Book of Life,17-Oct-14,"Adventure, Fantasy, Comedy, Romance, Animation, Family",67
Camp X-Ray,17-Oct-14,"Drama, War",54
Dear White People,17-Oct-14,"Drama, Comedy",79
Listen Up Philip,17-Oct-14,Drama,76
Young Ones,17-Oct-14,"Action, Sci-Fi, Drama, Western",47
Laggies,24-Oct-14,"Drama, Comedy, Romance",63
Nightcrawler,31-Oct-14,"Drama, Thriller, Crime",76
Interstellar,5-Nov-14,"Action, Adventure, Sci-Fi, Mystery",74
The Way He Looks,7-Nov-14,"Drama, Romance",71
A Merry Friggin' Christmas,7-Nov-14,Comedy,28
The Better Angels,7-Nov-14,"Biography, Drama, History",53
Big Hero 6,7-Nov-14,"Action, Adventure, Sci-Fi, Comedy, Animation, Family",74
Elsa & Fred,7-Nov-14,"Drama, Comedy, Romance, Family",49
Jessabelle,7-Nov-14,"Thriller, Horror",37
The Theory of Everything,7-Nov-14,"Biography, Drama, Romance",72
Beside Still Waters,14-Nov-14,"Drama, Comedy, Romance",42
Beside Still Waters,14-Nov-14,"Drama, Comedy, Romance",42
Beyond the Lights,14-Nov-14,Drama,73
Foxcatcher,14-Nov-14,"Biography, Drama, Sport, Thriller",81
The Homesman,14-Nov-14,"Drama, Western",68
Kirk Cameron's Saving Christmas,14-Nov-14,"Comedy, Family",18
Horrible Bosses 2,26-Nov-14,"Comedy, Crime",40
Penguins of Madagascar,26-Nov-14,"Adventure, Comedy, Animation, Family",53
Wild,3-Dec-14,"Biography, Drama",76
Wild,3-Dec-14,"Biography, Drama",76
Comet,5-Dec-14,"Sci-Fi, Drama, Comedy, Romance",52
Little Feet,12-Dec-14,Drama,73
Exodus: Gods and Kings,12-Dec-14,"Action, Adventure, Drama",52
Inherent Vice,12-Dec-14,"Drama, Mystery, Comedy, Romance, Crime",81
The Color of Time,12-Dec-14,"Biography, Drama, Romance",34
Top Five,12-Dec-14,"Comedy, Romance",81
Inherent Vice,12-Dec-14,"Drama, Mystery, Comedy, Romance, Crime",81
Goodbye to All That,17-Dec-14,"Drama, Comedy",62
Annie,19-Dec-14,"Drama, Comedy, Family, Musical",33
Night at the Museum: Secret of the Tomb,19-Dec-14,"Adventure, Fantasy, Comedy, Family",47
"Two Days, One Night",24-Dec-14,Drama,89
The Interview,25-Dec-14,"Action, Comedy",52
Big Eyes,25-Dec-14,"Biography, Drama",62
The Interview,25-Dec-14,"Action, Comedy",52
Into the Woods,25-Dec-14,"Adventure, Fantasy, Comedy, Family, Musical",69
Unbroken,25-Dec-14,"Action, Biography, Drama, History, Sport, War",59
The Woman in Black 2: Angel of Death,2-Jan-15,"Drama, Thriller, Horror",42
Taken 3,9-Jan-15,"Action, Thriller, Crime",26
Blackhat,16-Jan-15,"Action, Drama, Mystery, Thriller, Crime",51
Little Accidents,16-Jan-15,Drama,56
Spare Parts,16-Jan-15,"Drama, Sport",50
The Wedding Ringer,16-Jan-15,"Comedy, Romance",35
The Boy Next Door,23-Jan-15,Thriller,30
The Boy Next Door,23-Jan-15,Thriller,30
The Humbling,23-Jan-15,"Drama, Comedy",59
Mortdecai,23-Jan-15,"Action, Drama, Comedy, Crime",27
Song One,23-Jan-15,"Drama, Music",48
Strange Magic,23-Jan-15,"Fantasy, Animation, Family, Musical",25
Black or White,30-Jan-15,Drama,45
The Loft,30-Jan-15,Thriller,24
Project Almanac,30-Jan-15,"Sci-Fi, Thriller",47
Wild Card,30-Jan-15,"Action, Drama, Thriller, Crime",40
Enter the Dangerous Mind,6-Feb-15,Thriller,22
Jupiter Ascending,6-Feb-15,"Action, Adventure, Sci-Fi, Fantasy",40
"Love, Rosie",6-Feb-15,"Comedy, Romance",44
Seventh Son,6-Feb-15,"Action, Adventure, Fantasy, Family",30
The SpongeBob Movie: Sponge Out of Water,6-Feb-15,"Adventure, Comedy, Animation, Family",62
Da Sweet Blood of Jesus,13-Feb-15,"Thriller, Comedy, Romance",52
Fifty Shades of Grey,13-Feb-15,"Drama, Romance, Adult",46
Kingsman: The Secret Service,13-Feb-15,"Action, Adventure, Thriller, Comedy, Crime",60
The DUFF,20-Feb-15,Comedy,56
Hot Tub Time Machine 2,20-Feb-15,"Sci-Fi, Comedy",29
McFarland USA,20-Feb-15,"Drama, Sport",60
Everly,27-Feb-15,"Action, Thriller",35
Focus,27-Feb-15,"Drama, Comedy, Romance, Crime",56
The Lazarus Effect,27-Feb-15,"Thriller, Horror",31
Maps to the Stars,27-Feb-15,"Drama, Comedy",67
Chappie,6-Mar-15,"Action, Sci-Fi, Thriller, Comedy",41
Road Hard,6-Mar-15,Comedy,50
The Second Best Exotic Marigold Hotel,6-Mar-15,"Drama, Comedy",51
Unfinished Business,6-Mar-15,Comedy,32
Cinderella,13-Mar-15,"Adventure, Drama, Fantasy, Romance, Family",67
The Cobbler,13-Mar-15,"Drama, Fantasy, Comedy",23
Cymbeline,13-Mar-15,Drama,54
Home Sweet Hell,13-Mar-15,"Drama, Comedy",22
It Follows,13-Mar-15,"Mystery, Horror",83
Run All Night,13-Mar-15,"Action, Drama, Mystery, Thriller, Crime",59
Accidental Love,20-Mar-15,"Comedy, Romance",20
Danny Collins,20-Mar-15,"Drama, Comedy, Music",58
The Divergent Series: Insurgent,20-Mar-15,"Action, Adventure, Sci-Fi, Thriller, Romance",42
Do You Believe?,20-Mar-15,Drama,22
The Gunman,20-Mar-15,"Action, Drama, Mystery, Thriller, Crime",39
Tracers,20-Mar-15,"Action, Drama, Thriller, Crime",45
The Walking Deceased,20-Mar-15,Comedy,9
Get Hard,27-Mar-15,Comedy,34
Serena,27-Mar-15,Drama,36
Woman in Gold,1-Apr-15,Drama,51
Furious 7,3-Apr-15,"Action, Adventure, Thriller, Crime",67
Ex Machina,10-Apr-15,"Sci-Fi, Drama, Thriller",78
The Longest Ride,10-Apr-15,"Drama, Romance",33
Lost River,10-Apr-15,"Drama, Mystery, Thriller, Fantasy",42
Paul Blart: Mall Cop 2,17-Apr-15,"Action, Comedy, Crime",13
Alex of Venice,17-Apr-15,Drama,56
Beyond the Reach,17-Apr-15,Thriller,34
Child 44,17-Apr-15,"Drama, Thriller",41
Monkey Kingdom,17-Apr-15,Documentary,72
Paul Blart: Mall Cop 2,17-Apr-15,"Action, Comedy, Crime",13
The Road Within,17-Apr-15,"Drama, Comedy",31
True Story,17-Apr-15,"Drama, Mystery, Thriller",50
Unfriended,17-Apr-15,"Thriller, Horror",59
Adult Beginners,24-Apr-15,"Drama, Comedy",57
Blackbird,24-Apr-15,Drama,33
Just Before I Go,24-Apr-15,"Drama, Comedy",24
Little Boy,24-Apr-15,"Drama, Comedy, War",30
The Age of Adaline,24-Apr-15,"Drama, Romance",51
Avengers: Age of Ultron,1-May-15,"Action, Adventure, Sci-Fi, Thriller, Fantasy",66
Far from the Madding Crowd,1-May-15,"Drama, Romance",71
The 100-Year-Old Man Who Climbed Out the Window and Disappeared,8-May-15,"Adventure, Comedy",58
The D Train,8-May-15,Comedy,55
Hot Pursuit,8-May-15,"Action, Comedy, Crime",31
Maggie,8-May-15,"Drama, Thriller, Fantasy, Horror",52
Mad Max: Fury Road,15-May-15,"Action, Adventure, Sci-Fi, Thriller",90
Mad Max: Fury Road,15-May-15,"Action, Adventure, Sci-Fi, Thriller",90
Mad Max: Fury Road,15-May-15,"Action, Adventure, Sci-Fi, Thriller",90
Pitch Perfect 2,15-May-15,"Comedy, Music",63
Poltergeist,22-May-15,"Thriller, Horror",47
Tomorrowland,22-May-15,"Action, Adventure, Sci-Fi, Mystery, Family",60
When Marnie Was There,22-May-15,"Drama, Mystery, Animation, Family",72
Aloha,29-May-15,"Adventure, Drama, Comedy, Romance",40
San Andreas,29-May-15,"Action, Adventure, Drama, Thriller",43
