Runtime,Production Budget,Domestic Total Gross,title,Genre,Distributor,MPAA Rating,Release Date
1 hrs. 30 min.,N/A,"$1,189,612 ",Repentance ,Horror Thriller,Lionsgate,R,28-Feb-14
2 hrs. 18 min.,N/A,"$59,700,064 ",Son of God ,Drama,Fox,PG-13,28-Feb-14
1 hrs. 31 min.,N/A,"$75,143 ",Better Living Through Chemistry ,Comedy,Samuel Goldwyn,Unrated,14-Mar-14
2 hrs. 10 min.,$66 million,"$43,577,636 ",Need for Speed ,Action,Buena Vista,PG-13,14-Mar-14
1 hrs. 47 min.,$6 million,"$3,322,127 ",Veronica Mars ,Comedy,Warner Bros.,PG-13,14-Mar-14
2 hrs. 23 min.,$85 million,"$150,947,895 ",Divergent ,Action / Adventure,Lionsgate/Summit,PG-13,21-Mar-14
1 hrs. 53 min.,$2 million,"$60,755,732 ",God's Not Dead ,Drama,Freestyle Releasing,PG,21-Mar-14
1 hrs. 52 min.,$50 million,"$51,183,113 ",Muppets Most Wanted ,Family Comedy,Buena Vista,PG,21-Mar-14
1 hrs. 50 min.,N/A,"$1,064,454 ",50 to 1 ,Drama,Ten Furlongs,PG-13,21-Mar-14
2 hrs. 18 min.,$125 million,"$101,200,044 ",Noah ,Drama,Paramount,PG-13,28-Mar-14
1 hrs. 16 min.,N/A,n/a,Sabotage ,Thriller,Gaumont British Picture Corporation,Unrated,11-Jan-37
1 hrs. 25 min.,N/A,"$12,897 ",Alien Abduction ,Sci-Fi Horror,IFC,Unrated,4-Apr-14
2 hrs. 16 min.,$170 million,"$259,766,572 ",Captain America: The Winter Soldier ,Action / Adventure,Buena Vista,PG-13,4-Apr-14
1 hrs. 37 min.,N/A,"$202,348 ",Jinn ,Thriller,Freestyle Releasing,PG-13,4-Apr-14
1 hrs. 50 min.,N/A,"$28,842,237 ",Draft Day ,Sports Drama,Lionsgate/Summit,PG-13,11-Apr-14
1 hrs. 45 min.,$5 million,"$27,695,246 ",Oculus ,Horror,Relativity,R,11-Apr-14
1 hrs. 41 min.,$103 million,"$131,538,435 ",Rio 2 ,Animation,Fox,G,11-Apr-14
1 hrs. 27 min.,$4 million,"$17,329,486 ",A Haunted House 2 ,Horror Comedy,Open Road Films,R,18-Apr-14
1 hrs. 45 min.,N/A,"$5,565 ",Kid Cannabis ,Drama,Well Go USA,Unrated,18-Apr-14
2 hrs. 0 min.,$100 million,"$23,022,309 ",Transcendence ,Sci-Fi,Warner Bros.,PG-13,18-Apr-14
1 hrs. 32 min.,N/A,"$13,809 ",13 Sins ,Thriller,Radius-TWC,R,18-Apr-14
1 hrs. 30 min.,$28 million,"$20,396,829 ",Brick Mansions ,Action,Relativity,PG-13,25-Apr-14
1 hrs. 42 min.,N/A,"$25,423 ",The Other Woman ,Drama,IFC,R,4-Feb-11
2 hrs. 4 min.,N/A,"$1,112,592 ",Walking with the Enemy ,Drama,Liberty Studios,PG-13,25-Apr-14
2 hrs. 22 min.,N/A,"$202,853,933 ",The Amazing Spider-Man 2 ,Action / Adventure,Sony / Columbia,PG-13,2-May-14
1 hrs. 31 min.,N/A,"$48,390 ",Decoding Annie Parker ,Drama,Entertainment One,R,2-May-14
1 hrs. 35 min.,N/A,"$59,209 ",Walk of Shame ,Romantic Comedy,Focus Features,R,2-May-14
1 hrs. 27 min.,N/A,"$169,976 ",God's Pocket ,Drama,IFC,R,9-May-14
1 hrs. 36 min.,$18 million,"$150,157,400 ",Neighbors ,Comedy,Universal,R,9-May-14
1 hrs. 50 min.,N/A,n/a,Stage Fright ,Thriller,Warner Bros.,Unrated,15-Apr-50
2 hrs. 20 min.,$130 million,"$136,314,294 ",Godzilla ,Sci-Fi Action,Sony / Columbia,PG-13,20-May-98
2 hrs. 4 min.,$25 million,"$36,457,627 ",Million Dollar Arm ,Sports Drama,Buena Vista,PG,16-May-14
1 hrs. 57 min.,$40 million,"$46,294,610 ",Blended ,Romantic Comedy,Warner Bros.,PG-13,23-May-14
1 hrs. 40 min.,N/A,"$427,418 ",Cold in July ,Drama / Thriller,IFC,R,23-May-14
2 hrs. 11 min.,$200 million,"$233,921,534 ",X-Men: Days of Future Past ,Action / Adventure,Fox,PG-13,23-May-14
1 hrs. 37 min.,$180 million,"$241,410,378 ",Maleficent ,Fantasy,Buena Vista,PG,30-May-14
1 hrs. 56 min.,$40 million,"$43,139,300 ",A Million Ways to Die in the West ,Western Comedy,Universal,R,30-May-14
1 hrs. 53 min.,$178 million,"$100,206,256 ",Edge of Tomorrow ,Sci-Fi Action,Warner Bros.,PG-13,6-Jun-14
1 hrs. 32 min.,N/A,"$52,909 ",Ping Pong Summer ,Comedy,Gravitas Ventures,Unrated,6-Jun-14
1 hrs. 52 min.,$50 million,"$191,719,337 ",22 Jump Street ,Action Comedy,Sony / Columbia,R,13-Jun-14
1 hrs. 49 min.,N/A,"$55,708 ",Hellion ,Drama,IFC,R,13-Jun-14
1 hrs. 45 min.,$145 million,"$177,002,924 ",How to Train Your Dragon 2 ,Animation,Fox,PG,13-Jun-14
1 hrs. 23 min.,N/A,"$3,123,963 ",Obvious Child ,Comedy,A24,R,6-Jun-14
1 hrs. 39 min.,N/A,"$251,150 ",The Signal ,Horror,Magnolia,R,22-Feb-08
2 hrs. 14 min.,$40 million,"$47,047,013 ",Jersey Boys ,Musical,Warner Bros.,R,20-Jun-14
1 hrs. 46 min.,$24 million,"$65,182,182 ",Think Like a Man Too ,Comedy,Sony / Screen Gems,PG-13,20-Jun-14
1 hrs. 43 min.,$33.1 million,"$16,809,014 ",Rebound ,Comedy,Fox,PG,1-Jul-05
2 hrs. 45 min.,$210 million,"$245,439,076 ",Transformers: Age of Extinction ,Sci-Fi Action,Paramount,PG-13,27-Jun-14
1 hrs. 31 min.,$13 million,"$38,934,842 ",Earth to Echo ,Adventure,Relativity,PG,2-Jul-14
1 hrs. 36 min.,$20 million,"$84,525,432 ",Tammy ,Comedy,Warner Bros. (New Line),R,2-Jul-14
2 hrs. 46 min.,$4 million,"$25,352,281 ",Boyhood ,Drama,IFC,R,11-Jul-14
2 hrs. 10 min.,$170 million,"$208,545,589 ",Dawn of the Planet of the Apes ,Sci-Fi Action,Fox,PG-13,11-Jul-14
1 hrs. 53 min.,N/A,"$336,472 ",I Origins ,Drama,Fox Searchlight,R,18-Jul-14
1 hrs. 31 min.,N/A,"$1,558,836 ",Persecuted ,Thriller,Millennium Ent.,PG-13,18-Jul-14
1 hrs. 43 min.,$9 million,"$71,962,800 ",The Purge: Anarchy ,Thriller,Universal,R,18-Jul-14
1 hrs. 34 min.,$40 million,"$38,543,473 ",Sex Tape ,Comedy,Sony / Columbia,R,18-Jul-14
1 hrs. 54 min.,N/A,"$3,591,299 ",Wish I Was Here ,Comedy / Drama,Focus Features,R,18-Jul-14
1 hrs. 34 min.,N/A,"$15,160,801 ",And So It Goes ,Comedy / Drama,Clarius Entertainment,PG-13,25-Jul-14
1 hrs. 22 min.,N/A,"$30,312 ",Happy Christmas ,Comedy / Drama,Magnolia,R,25-Jul-14
1 hrs. 32 min.,$85 million,"$99,112,101 ",Hercules ,Animation,Buena Vista,G,15-Jun-97
1 hrs. 38 min.,N/A,"$10,539,326 ",Magic in the Moonlight ,Comedy / Drama,Sony Classics,PG-13,25-Jul-14
2 hrs. 1 min.,$170 million,"$333,176,600 ",Guardians of the Galaxy ,Action / Adventure,Buena Vista,PG-13,1-Aug-14
2 hrs. 2 min.,$22 million,"$54,240,821 ",The Hundred-Foot Journey ,Drama,Buena Vista,PG,8-Aug-14
1 hrs. 44 min.,$17 million,"$82,390,774 ",Let's Be Cops ,Action Comedy,Fox,R,13-Aug-14
1 hrs. 43 min.,N/A,"$39,322,544 ",The Expendables 3 ,Action,Lionsgate,PG-13,15-Aug-14
1 hrs. 31 min.,$25 million,"$45,090,374 ",The Giver ,Fantasy Drama,Weinstein Company,PG-13,15-Aug-14
1 hrs. 31 min.,N/A,"$88,273 ",Life After Beth ,Comedy,A24,R,15-Aug-14
1 hrs. 31 min.,N/A,"$513,447 ",The One I Love ,Romantic Comedy,Radius-TWC,R,22-Aug-14
1 hrs. 46 min.,$11 million,"$50,474,843 ",If I Stay ,Drama,Warner Bros. (New Line),PG-13,22-Aug-14
1 hrs. 42 min.,N/A,"$1,951,776 ",Cake ,Drama,Cinelou Films,R,23-Jan-15
1 hrs. 47 min.,$36 million,"$42,024,533 ",Dolphin Tale 2 ,Family,Warner Bros.,PG,12-Sep-14
1 hrs. 27 min.,N/A,"$9,318 ",Honeymoon ,Horror,Magnolia,R,12-Sep-14
1 hrs. 37 min.,$12 million,"$181,600 ",No Good Deed ,Unknown,MAC Releasing,R,12-Sep-03
1 hrs. 54 min.,$28 million,"$26,307,600 ",A Walk Among the Tombstones ,Drama,Universal,R,19-Sep-14
1 hrs. 53 min.,$34 million,"$102,427,862 ",The Maze Runner ,Sci-Fi Thriller,Fox,PG-13,19-Sep-14
1 hrs. 33 min.,N/A,"$5,284,309 ",The Skeleton Twins ,Drama,Roadside Attractions,R,12-Sep-14
1 hrs. 42 min.,N/A,"$1,826,705 ",Tusk ,Horror,A24,R,19-Sep-14
1 hrs. 37 min.,$60 million,"$50,837,305 ",The Boxtrolls ,Animation,Focus Features,PG,26-Sep-14
2 hrs. 8 min.,$55 million,"$101,530,738 ",The Equalizer ,Thriller,Sony / Columbia,R,26-Sep-14
1 hrs. 52 min.,N/A,"$1,009,620 ",The Song ,Music Drama,Samuel Goldwyn,PG-13,26-Sep-14
1 hrs. 38 min.,N/A,"$507,463 ",The Two Faces of January ,Thriller,Magnolia,PG-13,26-Sep-14
1 hrs. 35 min.,$6.5 million,"$84,273,813 ",Annabelle ,Horror,Warner Bros. (New Line),R,3-Oct-14
2 hrs. 25 min.,$61 million,"$167,767,189 ",Gone Girl ,Thriller,Fox,R,3-Oct-14
1 hrs. 50 min.,N/A,"$2,722,209 ",The Good Lie ,Drama,Warner Bros.,PG-13,3-Oct-14
1 hrs. 35 min.,N/A,"$4,224,065 ",Left Behind ,Action / Adventure,Cloud Ten,PG-13,2-Feb-01
1 hrs. 45 min.,N/A,"$17,390,770 ",Addicted ,Drama,Lionsgate,R,10-Oct-14
1 hrs. 21 min.,$28 million,"$66,954,149 ","Alexander and the Terrible, Horrible, No Good, Very Bad Day ",Family,Buena Vista,PG,10-Oct-14
1 hrs. 32 min.,$70 million,"$56,280,355 ",Dracula Untold ,Action Horror,Universal,PG-13,10-Oct-14
2 hrs. 21 min.,$50 million,"$47,119,388 ",The Judge ,Drama,Warner Bros.,R,10-Oct-14
1 hrs. 46 min.,$3.3 million,"$13,092,000 ",Whiplash ,Drama,Sony Classics,R,10-Oct-14
1 hrs. 44 min.,N/A,"$11,486 ",You're Not You ,Drama,Entertainment One,R,10-Oct-14
N/A,N/A,"$9,740 ",The Book of Life ,Unknown,Wellspring,Unrated,19-Mar-99
1 hrs. 57 min.,"$1,000,000 ","$13,302 ",Camp X-Ray ,Drama,IFC,R,17-Oct-14
1 hrs. 40 min.,N/A,"$4,404,154 ",Dear White People ,Comedy / Drama,Roadside Attractions,R,17-Oct-14
1 hrs. 48 min.,N/A,"$200,126 ",Listen Up Philip ,Drama,Tribeca Film,Unrated,17-Oct-14
1 hrs. 57 min.,$8.5 million,"$32,381,217 ",Nightcrawler ,Crime Drama,Open Road Films,R,31-Oct-14
1 hrs. 40 min.,N/A,"$1,066,981 ",Laggies ,Romantic Comedy,A24,R,24-Oct-14
1 hrs. 29 min.,$5 million,"$50,856,010 ",Ouija ,Horror,Universal,PG-13,24-Oct-14
2 hrs. 49 min.,$165 million,"$188,020,017 ",Interstellar ,Sci-Fi Adventure,Paramount,PG-13,5-Nov-14
1 hrs. 35 min.,N/A,"$70,918 ",The Better Angels ,Drama,Amplify,PG,7-Nov-14
1 hrs. 48 min.,$165 million,"$222,527,828 ",Big Hero 6 ,Animation,Buena Vista,PG,7-Nov-14
1 hrs. 56 min.,$7 million,"$14,618,727 ",Beyond the Lights ,Drama,Relativity,PG-13,14-Nov-14
1 hrs. 50 min.,$40 million,"$86,208,010 ",Dumb and Dumber To ,Comedy,Universal,PG-13,14-Nov-14
2 hrs. 14 min.,N/A,"$12,096,300 ",Foxcatcher ,Drama,Sony Classics,R,14-Nov-14
2 hrs. 2 min.,N/A,"$2,429,989 ",The Homesman ,Western,Saban Films,R,14-Nov-14
1 hrs. 48 min.,$42 million,"$54,445,357 ",Horrible Bosses 2 ,Comedy,Warner Bros.,R,26-Nov-14
1 hrs. 32 min.,$132 million,"$83,350,911 ",Penguins of Madagascar ,Animation,Fox,PG,26-Nov-14
1 hrs. 47 min.,N/A,"$8,623 ",Comet ,Comedy / Drama,IFC,R,5-Dec-14
2 hrs. 30 min.,$140 million,"$65,014,513 ",Exodus: Gods and Kings ,Drama,Fox,PG-13,12-Dec-14
2 hrs. 28 min.,N/A,"$8,110,975 ",Inherent Vice ,Crime,Warner Bros.,R,12-Dec-14
1 hrs. 41 min.,N/A,"$25,317,379 ",Top Five ,Comedy,Paramount,R,12-Dec-14
1 hrs. 24 min.,N/A,"$16,986 ",Goodbye To All That ,Drama,IFC,Unrated,17-Dec-14
2 hrs. 7 min.,N/A,"$57,059,003 ",Annie ,Musical,Columbia,PG,21-May-82
1 hrs. 37 min.,$127 million,"$113,746,621 ",Night at the Museum: Secret of the Tomb ,Family Adventure,Fox,PG,19-Dec-14
1 hrs. 46 min.,N/A,"$14,482,031 ",Big Eyes ,Drama,Weinstein Company,PG-13,25-Dec-14
2 hrs. 4 min.,$50 million,"$128,002,372 ",Into the Woods ,Musical,Buena Vista,PG,25-Dec-14
2 hrs. 17 min.,$65 million,"$115,637,895 ",Unbroken ,War Drama,Universal,PG-13,25-Dec-14
1 hrs. 38 min.,N/A,"$26,501,323 ",The Woman in Black 2: Angel of Death ,Horror,Relativity,PG-13,2-Jan-15
1 hrs. 49 min.,$48 million,"$89,256,424 ",Taken 3 ,Action,Fox,PG-13,9-Jan-15
1 hrs. 34 min.,N/A,"$37,285 ",Match ,Drama,IFC,R,14-Jan-15
2 hrs. 15 min.,$70 million,"$8,005,980 ",Blackhat ,Thriller,Universal,R,16-Jan-15
1 hrs. 45 min.,N/A,"$10,071 ",Little Accidents ,Drama,Amplify,Unrated,16-Jan-15
1 hrs. 35 min.,$55 million,"$76,271,832 ",Paddington ,Family,Weinstein / Dimension,PG,16-Jan-15
1 hrs. 23 min.,N/A,"$3,618,912 ",Spare Parts ,Family,Lionsgate,PG-13,16-Jan-15
1 hrs. 41 min.,$23 million,"$64,460,211 ",The Wedding Ringer ,Comedy,Sony / Screen Gems,R,16-Jan-15
1 hrs. 31 min.,$4 million,"$35,423,380 ",The Boy Next Door ,Thriller,Universal,R,23-Jan-15
1 hrs. 42 min.,N/A,"$1,951,776 ",Cake ,Drama,Cinelou Films,R,23-Jan-15
1 hrs. 46 min.,$60 million,"$7,696,134 ",Mortdecai ,Action Comedy,Lionsgate,R,23-Jan-15
1 hrs. 26 min.,N/A,"$32,251 ",Song One ,Drama,The Film Arcade,PG-13,23-Jan-15
1 hrs. 39 min.,N/A,"$12,429,583 ",Strange Magic ,Animation,Buena Vista,PG,23-Jan-15
2 hrs. 1 min.,$9 million,"$21,571,189 ",Black or White ,Drama,Relativity,PG-13,30-Jan-15
1 hrs. 48 min.,N/A,"$6,002,684 ",The Loft ,Thriller,Open Road Films,R,30-Jan-15
1 hrs. 46 min.,$12 million,"$22,348,241 ",Project Almanac ,Sci-Fi,Paramount,PG-13,30-Jan-15
1 hrs. 30 min.,N/A,"$1,297 ",3 Nights in the Desert ,Drama,"Monterey Media, Inc.",R,6-Feb-15
2 hrs. 7 min.,$176 million,"$47,387,723 ",Jupiter Ascending ,Sci-Fi,Warner Bros.,PG-13,6-Feb-15
1 hrs. 42 min.,N/A,"$20,431 ","Love, Rosie ",Romantic Comedy,The Film Arcade,R,6-Feb-15
1 hrs. 42 min.,$95 million,"$17,223,265 ",Seventh Son ,Fantasy,Universal,PG-13,6-Feb-15
1 hrs. 33 min.,$74 million,"$162,994,032 ",The SpongeBob Movie: Sponge Out of Water ,Animation,Paramount,PG,6-Feb-15
2 hrs. 5 min.,$40 million,"$166,167,230 ",Fifty Shades of Grey ,Romance,Universal,R,13-Feb-15
2 hrs. 9 min.,$81 million,"$128,261,724 ",Kingsman: The Secret Service ,Action / Adventure,Fox,R,13-Feb-15
1 hrs. 34 min.,N/A,"$145,427 ",The Last 5 Years ,Musical,Radius-TWC,PG-13,13-Feb-15
1 hrs. 33 min.,$14 million,"$12,314,651 ",Hot Tub Time Machine 2 ,Comedy,Paramount,R,20-Feb-15
2 hrs. 8 min.,N/A,"$44,482,410 ","McFarland, USA ",Sports Drama,Buena Vista,PG,20-Feb-15
1 hrs. 44 min.,N/A,"$645,418 ",Focus ,Unknown,Paramount Classics,PG-13,19-Oct-01
1 hrs. 23 min.,$3.3 million,"$25,801,047 ",The Lazarus Effect ,Horror,Relativity,PG-13,27-Feb-15
1 hrs. 51 min.,N/A,"$350,741 ",Maps to the Stars ,Drama,Focus Features,R,27-Feb-15
2 hrs. 0 min.,$49 million,"$31,569,268 ",Chappie ,Sci-Fi Action,Sony / Columbia,R,6-Mar-15
1 hrs. 38 min.,N/A,"$113,169 ",Road Hard ,Comedy,FilmBuff,Unrated,6-Mar-15
2 hrs. 2 min.,$10 million,"$33,078,266 ",The Second Best Exotic Marigold Hotel ,Comedy / Drama,Fox Searchlight,PG,6-Mar-15
1 hrs. 31 min.,$35 million,"$10,219,501 ",Unfinished Business ,Comedy,Fox,R,6-Mar-15
1 hrs. 37 min.,N/A,"$14,674,076 ",It Follows ,Horror,Radius-TWC,R,13-Mar-15
1 hrs. 54 min.,$50 million,"$26,461,644 ",Run All Night ,Action,Warner Bros.,R,13-Mar-15
1 hrs. 46 min.,$10 million,"$5,637,066 ",Danny Collins ,Comedy / Drama,Bleecker Street,R,20-Mar-15
1 hrs. 59 min.,$110 million,"$130,179,072 ",The Divergent Series: Insurgent ,Action / Adventure,Lionsgate/Summit,PG-13,20-Mar-15
1 hrs. 55 min.,$40 million,"$10,664,749 ",The Gunman ,Thriller,Open Road Films,R,20-Mar-15
1 hrs. 40 min.,$40 million,"$90,411,453 ",Get Hard ,Comedy,Warner Bros.,R,27-Mar-15
1 hrs. 49 min.,N/A,"$176,391 ",Serena ,Drama,Magnolia,R,27-Mar-15
1 hrs. 34 min.,N/A,"$7,587,485 ",While We're Young ,Comedy / Drama,A24,R,27-Mar-15
2 hrs. 17 min.,$190 million,"$353,007,020 ",Furious 7 ,Action,Universal,PG-13,3-Apr-15
1 hrs. 49 min.,$11 million,"$33,307,793 ",Woman in Gold ,Drama,Weinstein Company,PG-13,1-Apr-15
1 hrs. 50 min.,$15 million,"$25,442,958 ",Ex Machina ,Sci-Fi Thriller,A24,R,10-Apr-15
2 hrs. 19 min.,$34 million,"$37,446,117 ",The Longest Ride ,Romance,Fox,PG-13,10-Apr-15
1 hrs. 35 min.,N/A,"$45,431 ",Lost River ,Drama,Warner Bros.,R,10-Apr-15
1 hrs. 18 min.,N/A,"$111,682 ",1915 ,Drama,Bloodvine Media,Unrated,17-Apr-15
1 hrs. 31 min.,N/A,"$45,895 ",Beyond the Reach ,Drama,Roadside Attractions,R,17-Apr-15
2 hrs. 17 min.,N/A,"$1,224,330 ",Child 44 ,Drama,Lionsgate/Summit,R,17-Apr-15
1 hrs. 21 min.,N/A,"$16,432,322 ",Monkey Kingdom ,Documentary,Buena Vista,G,17-Apr-15
1 hrs. 34 min.,$30 million,"$71,038,190 ",Paul Blart: Mall Cop 2 ,Comedy,Sony / Columbia,PG,17-Apr-15
1 hrs. 39 min.,N/A,"$4,719,695 ",True Story ,Drama,Fox Searchlight,R,17-Apr-15
1 hrs. 23 min.,"$1,000,000 ","$32,482,090 ",Unfriended ,Horror,Universal,R,17-Apr-15
1 hrs. 30 min.,N/A,"$108,808 ",Adult Beginners ,Comedy / Drama,Radius-TWC,R,24-Apr-15
1 hrs. 39 min.,N/A,"$78,400 ",Blackbird ,Drama,Image Entertainment,R,24-Apr-15
1 hrs. 29 min.,N/A,"$478,595 ",Brotherly Love ,Drama,Freestyle Releasing,R,24-Apr-15
1 hrs. 32 min.,N/A,"$10,970 ",Just Before I Go ,Comedy,Anchor Bay Films,R,24-Apr-15
1 hrs. 46 min.,N/A,"$6,485,961 ",Little Boy ,Drama,Open Road Films,PG-13,24-Apr-15
1 hrs. 52 min.,N/A,"$42,629,776 ",The Age of Adaline ,Drama,Lionsgate,PG-13,24-Apr-15
2 hrs. 21 min.,$250 million,"$459,005,868 ",Avengers: Age of Ultron ,Action / Adventure,Buena Vista,PG-13,1-May-15
1 hrs. 59 min.,N/A,"$12,236,500 ",Far from the Madding Crowd ,Drama,Fox Searchlight,PG-13,1-May-15
1 hrs. 41 min.,N/A,"$673,151 ",The D Train ,Comedy,IFC,R,8-May-15
1 hrs. 27 min.,$35 million,"$34,580,201 ",Hot Pursuit ,Comedy,Warner Bros. (New Line),PG-13,8-May-15
1 hrs. 35 min.,N/A,"$187,112 ",Maggie ,Drama / Thriller,Roadside Attractions,PG-13,8-May-15
2 hrs. 0 min.,$150 million,"$153,636,354 ",Mad Max: Fury Road ,Sci-Fi Action,Warner Bros.,R,15-May-15
1 hrs. 55 min.,$29 million,"$184,296,230 ",Pitch Perfect 2 ,Comedy,Universal,PG-13,15-May-15
1 hrs. 54 min.,N/A,"$76,606,280 ",Poltergeist ,Horror,MGM,PG,4-Jun-82
2 hrs. 10 min.,$190 million,"$93,436,322 ",Tomorrowland ,Sci-Fi,Buena Vista,PG,22-May-15
1 hrs. 43 min.,N/A,"$561,085 ",When Marnie Was There ,Animation,GKIDS,PG,22-May-15
1 hrs. 45 min.,$37 million,"$21,067,116 ",Aloha ,Comedy / Drama,Sony / Columbia,PG-13,29-May-15
1 hrs. 54 min.,$110 million,"$155,190,832 ",San Andreas ,Action,Warner Bros. (New Line),PG-13,29-May-15
2 hrs. 0 min.,$65 million,"$110,825,712 ",Spy ,Comedy,Fox,R,5-Jun-15
1 hrs. 44 min.,$30 million,"$32,363,404 ",Entourage ,Comedy,Warner Bros.,R,3-Jun-15
2 hrs. 4 min.,$150 million,"$652,270,625 ",Jurassic World ,Action / Adventure,Universal,PG-13,12-Jun-15
1 hrs. 44 min.,$8 million,"$6,758,416 ",Me and Earl and the Dying Girl ,Drama,Fox Searchlight,PG-13,12-Jun-15
1 hrs. 55 min.,$7 million,"$17,506,470 ",Dope ,Comedy / Drama,Open Road Films,R,19-Jun-15
1 hrs. 34 min.,$175 million,"$356,461,711 ",Inside Out ,Animation,Buena Vista,PG,19-Jun-15
1 hrs. 49 min.,N/A,"$539,879 ",Max ,Unknown,Lions Gate,R,27-Dec-02
1 hrs. 55 min.,$68 million,"$81,476,385 ",Ted 2 ,Comedy,Universal,R,26-Jun-15
1 hrs. 31 min.,$74 million,"$336,045,770 ",Minions ,Animation,Universal,PG,10-Jul-15
1 hrs. 57 min.,$130 million,"$180,202,163 ",Ant-Man ,Action / Adventure,Buena Vista,PG-13,17-Jul-15
2 hrs. 5 min.,$35 million,"$110,212,700 ",Trainwreck ,Comedy,Universal,R,17-Jul-15
1 hrs. 45 min.,$88 million,"$78,747,585 ",Pixels ,Action Comedy,Sony / Columbia,PG-13,24-Jul-15
1 hrs. 31 min.,N/A,"$1,784,763 ",The Vatican Tapes ,Horror,Lionsgate,PG-13,24-Jul-15
1 hrs. 33 min.,N/A,"$111,996 ",She's Funny That Way ,Comedy,Lionsgate Premiere,R,21-Aug-15
1 hrs. 58 min.,N/A,"$15,339,030 ",No Escape ,Sci-Fi Action,Savoy,R,29-Apr-94
2 hrs. 2 min.,$53 million,"$62,575,678 ",Black Mass ,Crime Drama,Warner Bros.,R,18-Sep-15
2 hrs. 21 min.,$108 million,"$228,433,663 ",The Martian ,Sci-Fi,Fox,PG-13,2-Oct-15
1 hrs. 59 min.,$55 million,"$31,090,320 ",Crimson Peak ,Horror,Universal,R,16-Oct-15
1 hrs. 33 min.,$99 million,"$130,178,411 ",The Peanuts Movie ,Animation,Fox,G,6-Nov-15
1 hrs. 40 min.,N/A,"$123,087,120 ",The Good Dinosaur ,Animation,Buena Vista,PG,25-Nov-15
1 hrs. 49 min.,N/A,"$5,775,076 ",Victor Frankenstein ,Drama,Fox,PG-13,25-Nov-15
2 hrs. 1 min.,$100 million,"$25,020,758 ",In the Heart of the Sea ,Drama,Warner Bros.,PG-13,11-Dec-15
1 hrs. 36 min.,N/A,"$42,606 ",Concussion ,Drama,Radius-TWC,R,4-Oct-13
1 hrs. 36 min.,N/A,"$150,357,137 ",Daddy's Home ,Comedy,Paramount,PG-13,25-Dec-15
2 hrs. 4 min.,$60 million,"$56,451,232 ",Joy ,Comedy / Drama,Fox,PG-13,25-Dec-15
2 hrs. 2 min.,N/A,"$43,218,387 ",Point Break ,Action / Crime,Fox,R,12-Jul-91
2 hrs. 31 min.,$135 million,"$183,637,894 ",The Revenant ,Action / Adventure,Fox,R,25-Dec-15
2 hrs. 14 min.,$40 million,"$21,587,519 ",Snowden ,Thriller,Open Road Films,R,16-Sep-16
1 hrs. 35 min.,$10 million,"$26,594,261 ",The Forest ,Horror,Focus Features,PG-13,8-Jan-16
1 hrs. 30 min.,N/A,"$32,163 ",Anesthesia ,Drama / Thriller,IFC,R,8-Jan-16
1 hrs. 50 min.,N/A,"$5,076 ",Lamb ,Unknown,Capitol Entertainment,Unrated,24-Feb-95
1 hrs. 41 min.,$40 million,"$91,221,830 ",Ride Along 2 ,Action Comedy,Universal,PG-13,15-Jan-16
2 hrs. 24 min.,$50 million,"$52,853,219 ",13 Hours: The Secret Soldiers of Benghazi ,Drama,Paramount,R,15-Jan-16
1 hrs. 30 min.,N/A,"$17,062,499 ",Norm of the North ,Animation,Lionsgate,PG,15-Jan-16
1 hrs. 42 min.,$25 million,"$35,593,113 ",Dirty Grandpa ,Comedy,Lionsgate,R,22-Jan-16
1 hrs. 52 min.,$38 million,"$34,916,787 ",The 5th Wave ,Sci-Fi Action,Sony / Columbia,PG-13,22-Jan-16
1 hrs. 45 min.,N/A,"$2,679,437 ",Ip Man 3 ,Action,Well Go USA,PG-13,22-Jan-16
1 hrs. 41 min.,N/A,"$4,505 ",Synchronicity ,Sci-Fi Thriller,Magnolia,R,22-Jan-16
1 hrs. 35 min.,$145 million,"$143,528,619 ",Kung Fu Panda 3 ,Animation,Fox,PG,29-Jan-16
1 hrs. 49 min.,N/A,"$27,569,558 ",The Finest Hours ,Thriller,Buena Vista,PG-13,29-Jan-16
1 hrs. 32 min.,N/A,"$11,686,940 ",Fifty Shades of Black ,Comedy,Open Road Films,R,29-Jan-16
1 hrs. 38 min.,N/A,"$1,513,793 ",Jane Got a Gun ,Western,Weinstein Company,R,29-Jan-16
1 hrs. 40 min.,$22 million,"$30,498,085 ","Hail, Caesar! ",Comedy,Universal,PG-13,5-Feb-16
1 hrs. 51 min.,N/A,"$18,730,891 ",The Choice ,Romance,Lionsgate,PG-13,5-Feb-16
1 hrs. 46 min.,$58 million,"$363,070,709 ",Deadpool ,Action,Fox,R,12-Feb-16
1 hrs. 40 min.,N/A,"$28,848,693 ",Zoolander 2 ,Comedy,Paramount,PG-13,12-Feb-16
1 hrs. 50 min.,$38 million,"$46,843,513 ",How to Be Single ,Romantic Comedy,Warner Bros. (New Line),R,12-Feb-16
1 hrs. 47 min.,$20 million,"$36,880,033 ",Risen ,Action / Adventure,Sony / Columbia,PG-13,19-Feb-16
1 hrs. 32 min.,$4 million,"$25,138,705 ",The Witch ,Horror,A24,R,19-Feb-16
2 hrs. 34 min.,N/A,"$1,367,024 ",Race ,Foreign,UTV Communications,Unrated,21-Mar-08
