Runtime,Production Budget,Domestic Total Gross,title,Genre,Distributor,MPAA Rating,Release Date
1 hrs. 47 min.,N/A,"$48,478,006 ",Miss Congeniality 2: Armed and Fabulous ,Action Comedy,Warner Bros.,PG-13,24-Mar-05
1 hrs. 35 min.,$43 million,"$82,931,301 ",Monster-in-Law ,Comedy,New Line,PG-13,13-May-05
1 hrs. 28 min.,N/A,"$153,122 ",The Mostly Unfabulous Social Life of Ethan Green ,Romantic Comedy,Regent Releasing,PG-13,16-Jun-06
1 hrs. 45 min.,"$750,000 ","$1,720,953 ",Mrs. Palfrey at the Claremont ,Comedy / Drama,Cineville,Unrated,25-Nov-05
2 hrs. 44 min.,$70 million,"$47,403,685 ",Munich ,Drama / Thriller,Universal,R,23-Dec-05
1 hrs. 28 min.,N/A,"$1,531,154 ",Murderball ,Documentary,ThinkFilm,R,8-Jul-05
1 hrs. 38 min.,$30 million,"$43,894,863 ",Must Love Dogs ,Romantic Comedy,Warner Bros.,PG-13,29-Jul-05
1 hrs. 38 min.,$25 million,"$47,144,110 ",Nanny McPhee ,Family,Universal,PG,27-Jan-06
1 hrs. 37 min.,N/A,"$47,219 ",Never Been Thawed ,Comedy,Indican,R,15-Apr-05
2 hrs. 30 min.,$30 million,"$12,712,093 ",The New World ,Period Drama,New Line,PG-13,25-Dec-05
1 hrs. 15 min.,N/A,"$219,672 ",New York Doll ,Documentary,First Independent Pictures,PG-13,28-Oct-05
1 hrs. 50 min.,N/A,"$478,830 ",Nine Lives ,Drama,Magnolia,R,14-Oct-05
2 hrs. 6 min.,$35 million,"$18,337,722 ",North Country ,Drama,Warner Bros.,R,21-Oct-05
1 hrs. 31 min.,$56 million,"$113,086,868 ",The Pacifier ,Family Comedy,Buena Vista,PG,4-Mar-05
1 hrs. 36 min.,$10 million,"$16,535,005 ",The Perfect Man ,Romantic Comedy,Universal,PG,17-Jun-05
1 hrs. 8 min.,$20 million,"$18,098,433 ",Pooh's Heffalump Movie ,Animation,Buena Vista,G,11-Feb-05
1 hrs. 44 min.,N/A,"$305,800 ",Pretty Persuasion ,Comedy,IDP,R,12-Aug-05
1 hrs. 45 min.,$22 million,"$22,827,153 ",Prime ,Comedy,Universal,PG-13,28-Oct-05
1 hrs. 39 min.,$12 million,"$627,844 ","The Prize Winner of Defiance, Ohio ",Period Drama,DreamWorks,PG-13,30-Sep-05
2 hrs. 3 min.,$45 million,"$19,398,532 ",The Producers ,Musical,Universal,PG-13,16-Dec-05
1 hrs. 40 min.,N/A,"$524,668 ",Proof ,Drama,Fine Line,R,20-Mar-92
1 hrs. 24 min.,N/A,"$49,772,522 ",Racing Stripes ,Family Adventure,Warner Bros.,PG,14-Jan-05
1 hrs. 43 min.,$33.1 million,"$16,809,014 ",Rebound ,Comedy,Fox,PG,1-Jul-05
1 hrs. 25 min.,$26 million,"$57,891,803 ",Red Eye ,Thriller,DreamWorks,PG-13,19-Aug-05
2 hrs. 15 min.,$40 million,"$29,077,547 ",Rent ,Musical,Sony (Revolution),PG-13,23-Nov-05
1 hrs. 47 min.,N/A,"$76,231,249 ",The Ring Two ,Horror,DreamWorks,PG-13,18-Mar-05
1 hrs. 34 min.,N/A,"$35,428,675 ",The Ringer ,Comedy,Fox Searchlight,PG-13,23-Dec-05
1 hrs. 24 min.,N/A,"$3,336,391 ",Rize ,Documentary,Lions Gate,PG-13,24-Jun-05
1 hrs. 30 min.,$75 million,"$128,200,012 ",Robots ,Animation,Fox,PG,11-Mar-05
1 hrs. 52 min.,N/A,"$17,380,866 ",Roll Bounce ,Comedy,Fox Searchlight,PG-13,23-Sep-05
2 hrs. 4 min.,$130 million,"$68,671,925 ",Sahara ,Adventure,Paramount,PG-13,8-Apr-05
1 hrs. 31 min.,$4 million,"$87,039,965 ",Saw II ,Horror,Lions Gate,R,28-Oct-05
1 hrs. 59 min.,$39 million,"$25,514,517 ",Serenity ,Sci-Fi Adventure,Universal,PG-13,30-Sep-05
1 hrs. 33 min.,N/A,"$370,627 ",Shadowboxer ,Crime Drama,Freestyle Releasing,R,21-Jul-06
1 hrs. 44 min.,N/A,"$10,284,523 ",Shopgirl ,Romantic Comedy,Buena Vista,R,21-Oct-05
2 hrs. 5 min.,$40 million,"$74,103,820 ",Sin City ,Crime,Dimension Films,R,1-Apr-05
1 hrs. 59 min.,$25 million,"$39,053,061 ",The Sisterhood of the Traveling Pants ,Comedy / Drama,Warner Bros.,PG,1-Jun-05
1 hrs. 53 min.,N/A,N/A,The Sisters ,Drama,Arclight Films,R,14-Apr-06
1 hrs. 44 min.,$43 million,"$47,907,715 ",The Skeleton Key ,Horror,Universal,PG-13,12-Aug-05
1 hrs. 42 min.,$35 million,"$63,946,815 ",Sky High ,Family Adventure,Buena Vista,PG,29-Jul-05
1 hrs. 47 min.,N/A,"$32,833 ",Smile ,Drama,Freestyle Releasing,PG-13,8-Apr-05
1 hrs. 26 min.,$84 million,"$17,018,422 ",Son of the Mask ,Family Comedy,New Line,PG,18-Feb-05
1 hrs. 43 min.,$80 million,"$1,900,451 ",A Sound of Thunder ,Sci-Fi Horror,Warner Bros.,PG-13,2-Sep-05
1 hrs. 21 min.,$1.5 million,"$7,372,734 ",The Squid and the Whale ,Comedy / Drama,IDP,R,5-Oct-05
1 hrs. 39 min.,N/A,"$3,626,883 ",Stay ,Horror,Fox,R,21-Oct-05
2 hrs. 1 min.,$135 million,"$32,116,746 ",Stealth ,Action,Sony / Columbia,PG-13,29-Jul-05
1 hrs. 22 min.,N/A,"$4,779 ",Street Fight ,Documentary,Frontier Films,Unrated,22-Feb-06
