Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
Learning to Drive (2015),1 hrs. 29 min.,N/A,"$3,447,633 ",Comedy,Broad Green Pictures,R,21-Aug-15,
The Oscar Nominated Short Films 2018 (2018),N/A,N/A,"$3,465,810 ",Drama,Shorts International,Unrated,9-Feb-18,
The Lemon Sisters (1990),1 hrs. 32 min.,N/A,"$3,473,905 ",Comedy / Drama,Miramax,PG-13,31-Aug-90,
Things Change (1988),1 hrs. 40 min.,N/A,"$3,527,886 ",Unknown,Columbia,PG,21-Oct-88,
In Country (1989),2 hrs. 0 min.,N/A,"$3,531,971 ",Unknown,Warner Bros.,R,15-Sep-89,
Tom & Jerry - The Movie (1993),1 hrs. 24 min.,N/A,"$3,560,469 ",Animation,Miramax,G,30-Jul-93,
Physical Evidence (1989),1 hrs. 39 min.,N/A,"$3,560,932 ",Unknown,Columbia,R,27-Jan-89,
Fat Man and Little Boy (1989),2 hrs. 6 min.,N/A,"$3,563,162 ",Unknown,Paramount,PG-13,20-Oct-89,
New Jersey Drive (1995),1 hrs. 38 min.,N/A,"$3,565,508 ",Crime Drama,Gramercy,R,21-Apr-95,
Old Gringo (1989),1 hrs. 59 min.,N/A,"$3,574,256 ",Unknown,Columbia,R,6-Oct-89,
Elegy (2008),1 hrs. 48 min.,N/A,"$3,581,642 ",Drama,Samuel Goldwyn,R,8-Aug-08,
The Pest (1997),1 hrs. 24 min.,N/A,"$3,600,616 ",Comedy,Sony / Columbia,PG-13,7-Feb-97,
Bug (1975) (1975),1 hrs. 39 min.,N/A,"$3,602,023 ",Horror,Paramount,PG,6-Jun-75,
Their Finest (2017),1 hrs. 50 min.,N/A,"$3,603,484 ",Comedy / Drama,STX Entertainment,R,7-Apr-17,
Table 19 (2017),1 hrs. 27 min.,N/A,"$3,614,896 ",Comedy / Drama,Fox Searchlight,PG-13,3-Mar-17,
Bad Company (1995) (1995),1 hrs. 48 min.,N/A,"$3,674,841 ",Crime Thriller,Buena Vista,R,20-Jan-95,
Sunshine (2007),1 hrs. 48 min.,N/A,"$3,675,753 ",Sci-Fi Thriller,Fox Searchlight,R,20-Jul-07,
Don 2 (2011),2 hrs. 23 min.,N/A,"$3,680,306 ",Foreign / Action,Reliance Big Pictures,Unrated,22-Dec-11,
High Tension (2005),1 hrs. 25 min.,N/A,"$3,681,066 ",Foreign / Horror,Lions Gate,R,10-Jun-05,
The Return of Martin Guerre (1983),2 hrs. 3 min.,N/A,"$3,704,433 ",Foreign,European Int'l,Unrated,3-Jun-83,
The Governess (1998),1 hrs. 55 min.,N/A,"$3,719,509 ",Romance,Miramax,R,31-Jul-98,
Allan Quatermain and the Lost City of Gold (1987),1 hrs. 39 min.,N/A,"$3,751,699 ",Unknown,Cannon Films,PG,30-Jan-87,
Anomalisa (2015),1 hrs. 30 min.,$8 million,"$3,759,286 ",Animation,Paramount,R,30-Dec-15,
Batman: The Killing Joke (2016),1 hrs. 16 min.,N/A,"$3,775,000 ",Animation,Fathom,R,25-Jul-16,
Power (1986),1 hrs. 51 min.,N/A,"$3,800,000 ",Unknown,Fox,R,31-Jan-86,
Better Luck Tomorrow (2003),1 hrs. 38 min.,"$250,000 ","$3,802,390 ",Crime Drama,Paramount,R,11-Apr-03,
Benji Off the Leash (2004),1 hrs. 37 min.,N/A,"$3,817,362 ",Family Adventure,Mulberry Square,PG,20-Aug-04,
Let's Spend the Night Together (1983),1 hrs. 31 min.,N/A,"$3,821,199 ",Unknown,Embassy,PG,11-Feb-83,
The Assassination of Jesse James by the Coward Robert Ford (2007),2 hrs. 40 min.,$30 million,"$3,909,149 ",Western,Warner Bros.,R,21-Sep-07,
Morgan (2016),1 hrs. 32 min.,$8 million,"$3,915,251 ",Sci-Fi Thriller,Fox,R,2-Sep-16,
China: The Panda Adventure (IMAX) (2001),0 hrs. 49 min.,N/A,"$3,921,642 ",IMAX,IMAX,Unrated,9-Jun-01,
Charlie Bartlett (2008),1 hrs. 37 min.,$12 million,"$3,951,699 ",Comedy,MGM,R,22-Feb-08,
Entre Nous (1984),1 hrs. 52 min.,N/A,"$3,974,975 ",Foreign,MGM,PG,25-Jan-84,
King's Ransom (2005),1 hrs. 35 min.,N/A,"$4,008,527 ",Comedy,New Line,PG-13,22-Apr-05,
I'm Not There (2007),2 hrs. 15 min.,N/A,"$4,017,609 ",Music Drama,Weinstein Company,R,21-Nov-07,
The Anniversary Party (2001),1 hrs. 55 min.,N/A,"$4,047,329 ",Comedy / Drama,Fine Line,R,8-Jun-01,
The Gospel of John (2003),2 hrs. 53 min.,$10 million,"$4,069,090 ",Historical Drama,ThinkFilm,PG-13,26-Sep-03,
Frances Ha (2013),1 hrs. 26 min.,N/A,"$4,069,826 ",Comedy / Drama,IFC,R,17-May-13,
The Raid: Redemption (2012),1 hrs. 41 min.,N/A,"$4,105,187 ",Foreign / Action,Sony Classics,R,23-Mar-12,
Godzilla 1985 (1985),1 hrs. 27 min.,N/A,"$4,116,395 ",Unknown,New World,PG,23-Aug-85,
Good Hair (2009),1 hrs. 35 min.,N/A,"$4,157,223 ",Documentary,Roadside Attractions,PG-13,9-Oct-09,
Witless Protection (2008),1 hrs. 37 min.,N/A,"$4,161,625 ",Action Comedy,Lionsgate,PG-13,22-Feb-08,
Playing God (1997),1 hrs. 34 min.,N/A,"$4,166,918 ",Crime Thriller,Buena Vista,R,17-Oct-97,
Dancer in the Dark (2000),2 hrs. 21 min.,N/A,"$4,184,036 ",Musical,Fine Line,R,22-Sep-00,
Gloria (1999),1 hrs. 48 min.,$30 million,"$4,197,729 ",Crime Drama,Sony / Columbia,R,22-Jan-99,
Popcorn (1991),1 hrs. 31 min.,N/A,"$4,205,000 ",Horror,Studio Three,R,1-Feb-91,
Hot Pursuit (1987),1 hrs. 33 min.,N/A,"$4,215,849 ",Unknown,Paramount,PG-13,8-May-87,
Lovely and Amazing (2002),1 hrs. 29 min.,N/A,"$4,222,923 ",Comedy / Drama,Lions Gate,R,28-Jun-02,
The Lunchbox (2014),1 hrs. 44 min.,N/A,"$4,235,151 ",Foreign,Sony Classics,PG,28-Feb-14,
Until September (1984),1 hrs. 36 min.,N/A,"$4,239,154 ",Unknown,MGM,R,21-Sep-84,
Men with Brooms (2002),1 hrs. 42 min.,N/A,"$4,245,870 ",Sports Comedy,Artisan,R,8-Mar-02,
Lambada (1990),1 hrs. 44 min.,N/A,"$4,263,112 ",Music Drama,Warner Bros.,PG,16-Mar-90,
Ae Dil Hai Mushkil (2016),2 hrs. 38 min.,N/A,"$4,264,983 ",Drama,FIP,Unrated,28-Oct-16,
