Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
The Deer Hunter (1978),3 hrs. 3 min.,$15 million,"$48,979,328 ",War Drama,Universal,R,8-Dec-78,
Michael Clayton (2007),2 hrs. 0 min.,N/A,"$49,033,882 ",Thriller,Warner Bros.,R,5-Oct-07,
Cobra (1986),1 hrs. 27 min.,N/A,"$49,042,224 ",Action,Warner Bros.,R,23-May-86,
Australia (2008),2 hrs. 45 min.,$130 million,"$49,554,002 ",Period Adventure,Fox,PG-13,26-Nov-08,
Are We Done Yet? (2007),1 hrs. 32 min.,N/A,"$49,662,533 ",Family Comedy,Sony (Revolution),PG,4-Apr-07,
Popeye (1980),1 hrs. 53 min.,N/A,"$49,823,037 ",Musical,Paramount,PG,12-Dec-80,
Legal Eagles (1986),1 hrs. 56 min.,N/A,"$49,851,591 ",Romantic Comedy,Universal,PG,20-Jun-86,
Pain and Gain (2013),2 hrs. 9 min.,$26 million,"$49,875,291 ",Action,Paramount,R,26-Apr-13,
A Walk in the Clouds (1995),1 hrs. 42 min.,N/A,"$50,008,143 ",Romance,Fox,PG-13,11-Aug-95,
Under Siege 2: Dark Territory (1995),1 hrs. 40 min.,N/A,"$50,024,083 ",Action,Warner Bros.,R,14-Jul-95,
Evita (1996),2 hrs. 10 min.,$55 million,"$50,047,179 ",Musical,Buena Vista,PG,25-Dec-96,
Breakdown (1997),1 hrs. 33 min.,$36 million,"$50,159,144 ",Thriller,Paramount,R,2-May-97,
Music and Lyrics (2007),1 hrs. 36 min.,N/A,"$50,572,589 ",Romantic Comedy,Warner Bros.,PG-13,14-Feb-07,
Jack Ryan: Shadow Recruit (2014),1 hrs. 40 min.,$60 million,"$50,577,412 ",Action Thriller,Paramount,PG-13,17-Jan-14,
Mighty Joe Young (1998),1 hrs. 54 min.,$90 million,"$50,632,037 ",Adventure,Buena Vista,PG,25-Dec-98,
The Net (1995),1 hrs. 55 min.,N/A,"$50,727,965 ",Thriller,Sony / Columbia,PG-13,28-Jul-95,
A Bridge Too Far (1977),2 hrs. 56 min.,$27 million,"$50,750,000 ",War,United Artists,PG,15-Jun-77,
Syriana (2005),2 hrs. 6 min.,$50 million,"$50,824,620 ",Drama / Thriller,Warner Bros.,R,23-Nov-05,
Apocalypto (2006),2 hrs. 18 min.,$40 million,"$50,866,635 ",Period Adventure,Buena Vista,R,8-Dec-06,
Goldfinger (1964),1 hrs. 48 min.,N/A,"$51,081,062 ",Action,United Artists,GP,22-Dec-64,
Up Close and Personal (1996),2 hrs. 4 min.,N/A,"$51,088,705 ",Romance,Buena Vista,PG-13,1-Mar-96,
Hide and Seek (2005),1 hrs. 45 min.,N/A,"$51,100,486 ",Thriller,Fox,R,28-Jan-05,
The Naked Gun 33 1/3: The Final Insult (1994),1 hrs. 22 min.,$30 million,"$51,132,598 ",Comedy,Paramount,PG-13,18-Mar-94,
Muppets Most Wanted (2014),1 hrs. 52 min.,$50 million,"$51,183,113 ",Family Comedy,Buena Vista,PG,21-Mar-14,
American Made (2017),1 hrs. 55 min.,$50 million,"$51,342,000 ",Crime Thriller,Universal,R,29-Sep-17,
Hoodwinked (2005),1 hrs. 35 min.,N/A,"$51,386,611 ",Animation,Weinstein Company,PG,16-Dec-05,
Enemy at the Gates (2001),2 hrs. 11 min.,$68 million,"$51,401,758 ",War,Paramount,R,16-Mar-01,
A Cinderella Story (2004),1 hrs. 36 min.,$19 million,"$51,438,175 ",Family Comedy,Warner Bros.,PG,16-Jul-04,
Finding Neverland (2004),1 hrs. 41 min.,$25 million,"$51,680,613 ",Period Drama,Miramax,PG,12-Nov-04,
The French Connection (1971),1 hrs. 44 min.,N/A,"$51,700,000 ",Action Drama,Fox,R,7-Oct-71,
The China Syndrome (1979),2 hrs. 3 min.,N/A,"$51,718,367 ",Drama / Thriller,Columbia,PG,16-Mar-79,
Insidious Chapter 3 (2015),1 hrs. 37 min.,$10 million,"$52,218,558 ",Horror,Focus Features,PG-13,5-Jun-15,
Blade: Trinity (2004),1 hrs. 54 min.,$65 million,"$52,411,906 ",Action Horror,New Line,R,8-Dec-04,
King Kong (1976) (1976),2 hrs. 14 min.,$24 million,"$52,614,445 ",Adventure,Paramount,PG,17-Dec-76,
Blow (2001),2 hrs. 4 min.,$53 million,"$52,990,775 ",Crime Drama,New Line,R,6-Apr-01,
Sleepers (1996),2 hrs. 28 min.,N/A,"$53,315,285 ",Crime Drama,Warner Bros.,R,18-Oct-96,
3:10 to Yuma (2007) (2007),1 hrs. 57 min.,$55 million,"$53,606,916 ",Western,Lionsgate,R,7-Sep-07,
Hero (2004),1 hrs. 39 min.,$31 million,"$53,710,019 ",Foreign / Action,Miramax,PG-13,27-Aug-04,
Barbershop: The Next Cut (2016),1 hrs. 52 min.,N/A,"$54,030,051 ",Comedy,Warner Bros. (New Line),PG-13,15-Apr-16,
Final Destination 3 (2006),1 hrs. 55 min.,$25 million,"$54,098,051 ",Horror,New Line,R,10-Feb-06,
The Shallows (2016),1 hrs. 25 min.,$17 million,"$55,124,043 ",Horror,Sony / Columbia,PG-13,24-Jun-16,
The Haunting in Connecticut (2009),1 hrs. 32 min.,N/A,"$55,389,516 ",Horror,Lionsgate,PG-13,27-Mar-09,
Alien 3 (1992),1 hrs. 54 min.,$50 million,"$55,473,545 ",Sci-Fi Horror,Fox,R,22-May-92,
The BFG (2016),1 hrs. 57 min.,$140 million,"$55,483,770 ",Adventure,Buena Vista,PG,1-Jul-16,
Legend of the Guardians: The Owls of Ga'Hoole (2010),1 hrs. 30 min.,$80 million,"$55,675,313 ",Animation,Warner Bros.,PG,24-Sep-10,
Romeo Must Die (2000),1 hrs. 55 min.,$25 million,"$55,973,336 ",Action,Warner Bros.,R,22-Mar-00,
Be Cool (2005),1 hrs. 44 min.,$53 million,"$56,046,979 ",Crime Comedy,MGM,PG-13,4-Mar-05,
Dracula Untold (2014),1 hrs. 32 min.,$70 million,"$56,280,355 ",Action Horror,Universal,PG-13,10-Oct-14,
Drumline (2002),1 hrs. 58 min.,$20 million,"$56,399,184 ",Music Drama,Fox,PG-13,13-Dec-02,
Executive Decision (1996),2 hrs. 13 min.,N/A,"$56,569,216 ",Action Thriller,Warner Bros.,R,15-Mar-96,
Guess Who's Coming to Dinner (1967),1 hrs. 48 min.,$4 million,"$56,666,667 ",Drama,Columbia,Unrated,11-Dec-67,
Saw V (2008),1 hrs. 28 min.,$10.8 million,"$56,746,769 ",Horror,Lionsgate,R,24-Oct-08,
Beaches (1988),2 hrs. 3 min.,N/A,"$57,041,866 ",Drama,Buena Vista,PG-13,23-Dec-88,
Beethoven (1992),1 hrs. 29 min.,N/A,"$57,114,049 ",Family Comedy,Universal,PG,3-Apr-92,
The Blues Brothers (1980),2 hrs. 30 min.,N/A,"$57,229,890 ",Comedy,Universal,R,20-Jun-80,
The Specialist (1994),1 hrs. 50 min.,$45 million,"$57,362,582 ",Action,Warner Bros.,R,7-Oct-94,
Memoirs of a Geisha (2005),2 hrs. 24 min.,$85 million,"$57,490,508 ",Period Drama,Sony / Columbia,PG-13,9-Dec-05,
Boyz N the Hood (1991),1 hrs. 47 min.,$6.5 million,"$57,504,069 ",Crime Drama,Columbia,R,12-Jul-91,
The Animal (2001),1 hrs. 23 min.,$47 million,"$57,743,062 ",Comedy,Sony (Revolution),PG-13,1-Jun-01,
Bicentennial Man (1999),2 hrs. 11 min.,$100 million,"$58,223,861 ",Sci-Fi,Buena Vista,PG,17-Dec-99,
Easy A (2010),1 hrs. 32 min.,$8 million,"$58,401,464 ",Romantic Comedy,Sony / Screen Gems,PG-13,17-Sep-10,
Housesitter (1992),1 hrs. 42 min.,N/A,"$58,500,635 ",Romantic Comedy,Universal,PG,12-Jun-92,
Little Man (2006),1 hrs. 30 min.,$64 million,"$58,645,052 ",Comedy,Sony (Revolution),PG-13,14-Jul-06,
Surf's Up (2007),1 hrs. 25 min.,N/A,"$58,867,694 ",Animation,Sony / Columbia,PG,8-Jun-07,
Vacation (2015),1 hrs. 39 min.,$31 million,"$58,884,188 ",Comedy,Warner Bros. (New Line),R,29-Jul-15,
Planes: Fire & Rescue (2014),1 hrs. 23 min.,$50 million,"$59,165,787 ",Animation,Buena Vista,PG,18-Jul-14,
The Dictator (2012),1 hrs. 23 min.,$65 million,"$59,650,222 ",Comedy,Paramount,R,16-May-12,
Gothika (2003),1 hrs. 35 min.,$40 million,"$59,694,580 ",Horror,Warner Bros.,R,21-Nov-03,
Secretariat (2010),1 hrs. 56 min.,$35 million,"$59,713,955 ",Sports Drama,Buena Vista,PG,8-Oct-10,
Jungle 2 Jungle (1997),1 hrs. 45 min.,N/A,"$59,927,618 ",Family Comedy,Buena Vista,PG,7-Mar-97,
Superman III (1983),2 hrs. 5 min.,N/A,"$59,950,623 ",Action / Adventure,Warner Bros.,PG,17-Jun-83,
Bad Santa (2003),1 hrs. 33 min.,$23 million,"$60,060,328 ",Crime Comedy,Dimension Films,R,26-Nov-03,
Three Kings (1999),1 hrs. 54 min.,$75 million,"$60,652,036 ",War Drama,Warner Bros.,R,1-Oct-99,
Coyote Ugly (2000),1 hrs. 41 min.,$45 million,"$60,786,269 ",Music Drama,Buena Vista,PG-13,4-Aug-00,
The Shape of Water (2017),1 hrs. 59 min.,N/A,"$60,940,802 ",Fantasy Drama,Fox Searchlight,R,1-Dec-17,
Get Him to the Greek (2010),1 hrs. 49 min.,$40 million,"$60,974,475 ",Comedy,Universal,R,4-Jun-10,
Friday Night Lights (2004),1 hrs. 47 min.,$30 million,"$61,255,921 ",Sports Drama,Universal,PG-13,8-Oct-04,
Stomp the Yard (2007),1 hrs. 55 min.,$13 million,"$61,356,221 ",Music Drama,Sony / Screen Gems,PG-13,12-Jan-07,
The Saint (1997),1 hrs. 58 min.,N/A,"$61,363,304 ",Action Thriller,Paramount,PG-13,4-Apr-97,
The Electric Horseman (1979),2 hrs. 0 min.,N/A,"$61,801,971 ",Romance,Columbia,PG,21-Dec-79,
The Wolfman (2010),1 hrs. 42 min.,$150 million,"$61,979,680 ",Horror,Universal,R,12-Feb-10,
Underworld: Evolution (2006),1 hrs. 46 min.,N/A,"$62,318,875 ",Action Horror,Sony / Screen Gems,R,20-Jan-06,
The Adjustment Bureau (2011),1 hrs. 39 min.,$50.2 million,"$62,495,645 ",Sci-Fi Thriller,Universal,PG-13,4-Mar-11,
Black Mass (2015),2 hrs. 2 min.,$53 million,"$62,575,678 ",Crime Drama,Warner Bros.,R,18-Sep-15,
London Has Fallen (2016),1 hrs. 39 min.,$60 million,"$62,678,608 ",Action,Focus Features,R,4-Mar-16,
Scent of a Woman (1992),2 hrs. 37 min.,N/A,"$63,095,253 ",Drama,Universal,R,23-Dec-92,
Beavis and Butt-Head Do America (1996),1 hrs. 20 min.,$12 million,"$63,118,386 ",Animation,Paramount,PG-13,20-Dec-96,
Dave (1993),1 hrs. 50 min.,N/A,"$63,270,710 ",Comedy,Warner Bros.,PG-13,7-May-93,
Saw IV (2007),1 hrs. 48 min.,N/A,"$63,300,095 ",Horror,Lionsgate,R,26-Oct-07,
Tango & Cash (1989),1 hrs. 44 min.,N/A,"$63,408,614 ",Action Comedy,Warner Bros.,R,22-Dec-89,
The Time Traveler's Wife (2009),1 hrs. 48 min.,$39 million,"$63,414,846 ",Romance,Warner Bros. (New Line),PG-13,14-Aug-09,
Miami Vice (2006),2 hrs. 26 min.,$135 million,"$63,450,470 ",Action / Crime,Universal,R,28-Jul-06,
Babe (1995),1 hrs. 32 min.,N/A,"$63,658,910 ",Family,Universal,G,4-Aug-95,
What About Bob? (1991),1 hrs. 39 min.,N/A,"$63,707,829 ",Comedy,Buena Vista,PG,17-May-91,
Life (1999),1 hrs. 49 min.,$80 million,"$63,886,029 ",Comedy,Universal,R,16-Apr-99,
Last Vegas (2013),1 hrs. 30 min.,$28 million,"$63,914,167 ",Comedy,CBS Films,PG-13,1-Nov-13,
Deja Vu (2006),2 hrs. 8 min.,$75 million,"$64,038,616 ",Romantic Thriller,Buena Vista,PG-13,22-Nov-06,
Ice Age: Collision Course (2016),1 hrs. 34 min.,$105 million,"$64,063,008 ",Animation,Fox,PG,22-Jul-16,
Jackass: The Movie (2002),1 hrs. 20 min.,$5 million,"$64,255,312 ",Comedy,Paramount,R,25-Oct-02,
A Dog's Purpose (2017),2 hrs. 0 min.,$22 million,"$64,508,620 ",Comedy / Drama,Universal,PG,27-Jan-17,
Stuart Little 2 (2002),1 hrs. 10 min.,$120 million,"$64,956,806 ",Family Adventure,Sony / Columbia,PG,19-Jul-02,
About Schmidt (2002),2 hrs. 4 min.,$30 million,"$65,016,287 ",Comedy / Drama,New Line,R,13-Dec-02,
Barbershop 2: Back in Business (2004),1 hrs. 46 min.,$30 million,"$65,111,277 ",Comedy,MGM,PG-13,6-Feb-04,
The Muppet Movie (1979),1 hrs. 35 min.,N/A,"$65,200,000 ",Family Adventure,Associated Film Dist.,G,22-Jun-79,
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour (2008),1 hrs. 14 min.,N/A,"$65,281,781 ",Concert,Buena Vista,G,1-Feb-08,
Battleship (2012),2 hrs. 11 min.,$209 million,"$65,422,625 ",Action,Universal,PG-13,18-May-12,
Stakeout (1987),1 hrs. 56 min.,N/A,"$65,673,233 ",Action Comedy,Buena Vista,R,7-Aug-87,
Ever After: A Cinderella Story (1998),2 hrs. 1 min.,$26 million,"$65,705,771 ",Romance,Fox,PG-13,31-Jul-98,
"What's Up, Doc? (1972)",1 hrs. 34 min.,N/A,"$66,000,000 ",Comedy,Warner Bros.,G,9-Mar-72,
Bowfinger (1999),1 hrs. 37 min.,$55 million,"$66,384,775 ",Comedy,Universal,PG-13,13-Aug-99,
The Final Destination (2009),1 hrs. 22 min.,$40 million,"$66,477,700 ",Horror,Warner Bros. (New Line),R,28-Aug-09,
The Godfather Part III (1990),2 hrs. 42 min.,$54 million,"$66,666,062 ",Crime Drama,Paramount,R,25-Dec-90,
Uncle Buck (1989),1 hrs. 40 min.,N/A,"$66,758,538 ",Comedy,Universal,PG,18-Aug-89,
The Mexican (2001),2 hrs. 3 min.,$57 million,"$66,845,033 ",Crime Comedy,DreamWorks,R,2-Mar-01,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)",1 hrs. 21 min.,$28 million,"$66,954,149 ",Family,Buena Vista,PG,10-Oct-14,
102 Dalmatians (2000),1 hrs. 44 min.,$85 million,"$66,957,026 ",Family Comedy,Buena Vista,G,22-Nov-00,
Waiting to Exhale (1995),2 hrs. 7 min.,N/A,"$67,052,156 ",Comedy / Drama,Fox,R,22-Dec-95,
Dante's Peak (1997),1 hrs. 49 min.,$116 million,"$67,127,760 ",Action Drama,Universal,PG-13,7-Feb-97,
Hidalgo (2004),2 hrs. 16 min.,$100 million,"$67,303,450 ",Period Adventure,Buena Vista,PG-13,5-Mar-04,
Insidious: The Last Key (2018),1 hrs. 43 min.,$10 million,"$67,347,895 ",Horror,Universal,PG-13,5-Jan-18,
Insomnia (2002),1 hrs. 58 min.,$46 million,"$67,355,513 ",Thriller,Warner Bros.,R,24-May-02,
Holes (2003),1 hrs. 57 min.,$20 million,"$67,406,573 ",Family Adventure,Buena Vista,PG,18-Apr-03,
A Perfect Murder (1998),1 hrs. 48 min.,N/A,"$67,638,368 ",Thriller,Warner Bros.,R,5-Jun-98,
Witness (1985),1 hrs. 52 min.,N/A,"$68,706,993 ",Drama / Thriller,Paramount,R,8-Feb-85,
Cool Runnings (1993),1 hrs. 38 min.,$14 million,"$68,856,263 ",Sports Comedy,Buena Vista,PG,1-Oct-93,
Guess Who (2005),1 hrs. 44 min.,N/A,"$68,915,888 ",Comedy,Sony / Columbia,PG-13,25-Mar-05,
Vertical Limit (2000),2 hrs. 4 min.,$75 million,"$69,243,859 ",Action,Sony / Columbia,PG-13,8-Dec-00,
Divine Secrets of the Ya-Ya Sisterhood (2002),1 hrs. 56 min.,$27 million,"$69,599,016 ",Comedy / Drama,Warner Bros.,PG-13,7-Jun-02,
The Best Little Whorehouse in Texas (1982),1 hrs. 54 min.,N/A,"$69,701,637 ",Musical,Universal,R,23-Jul-82,
Blade (1998),2 hrs. 0 min.,N/A,"$70,087,718 ",Action Horror,New Line,R,21-Aug-98,
Big Momma's House 2 (2006),1 hrs. 39 min.,$40 million,"$70,165,972 ",Action Comedy,Fox,PG-13,27-Jan-06,
Grumpy Old Men (1993),1 hrs. 44 min.,N/A,"$70,172,621 ",Comedy,Warner Bros.,PG-13,25-Dec-93,
World Trade Center (2006),2 hrs. 5 min.,$65 million,"$70,278,893 ",Drama / Thriller,Paramount,PG-13,9-Aug-06,
Mortal Kombat (1995),1 hrs. 41 min.,N/A,"$70,454,098 ",Action,New Line,PG-13,18-Aug-95,
The Best Man Holiday (2013),2 hrs. 2 min.,$17 million,"$70,525,195 ",Comedy / Drama,Universal,R,15-Nov-13,
No Strings Attached (2011),1 hrs. 50 min.,$25 million,"$70,662,220 ",Comedy,Paramount,R,21-Jan-11,
The Smurfs 2 (2013),1 hrs. 45 min.,$105 million,"$71,017,784 ",Family Comedy,Sony / Columbia,PG,31-Jul-13,
The Score (2001),2 hrs. 3 min.,$68 million,"$71,107,711 ",Crime,Paramount,R,13-Jul-01,
The Spiderwick Chronicles (2008),1 hrs. 37 min.,$90 million,"$71,195,053 ",Fantasy,Paramount,PG,14-Feb-08,
RV (2006),1 hrs. 38 min.,$50 million,"$71,726,025 ",Family Comedy,Sony / Columbia,PG,28-Apr-06,
The Purge: Anarchy (2014),1 hrs. 43 min.,$9 million,"$71,962,800 ",Thriller,Universal,R,18-Jul-14,
1408 (2007),1 hrs. 34 min.,$25 million,"$71,985,628 ",Horror,MGM (Weinstein),PG-13,22-Jun-07,
Fred Claus (2007),1 hrs. 56 min.,N/A,"$72,006,777 ",Comedy,Warner Bros.,PG,9-Nov-07,
Michael Jackson's This Is It (2009),2 hrs. 1 min.,N/A,"$72,091,016 ",Concert,Sony / Columbia,PG,28-Oct-09,
Vantage Point (2008),1 hrs. 30 min.,$40 million,"$72,266,306 ",Thriller,Sony / Columbia,PG-13,22-Feb-08,
Dolphin Tale (2011),1 hrs. 52 min.,$37 million,"$72,286,779 ",Family,Warner Bros.,PG,23-Sep-11,
Dinner for Schmucks (2010),1 hrs. 50 min.,$69 million,"$73,026,337 ",Comedy,Paramount (DreamWorks),PG-13,30-Jul-10,
Hotel for Dogs (2009),1 hrs. 40 min.,N/A,"$73,034,460 ",Family,Paramount (DreamWorks),PG,16-Jan-09,
Deep Blue Sea (1999),1 hrs. 45 min.,$60 million,"$73,648,142 ",Horror,Warner Bros.,R,30-Jul-99,
The Jerk (1979),1 hrs. 34 min.,N/A,"$73,691,419 ",Comedy,Universal,R,14-Dec-79,
Ladder 49 (2004),1 hrs. 55 min.,N/A,"$74,541,707 ",Action Drama,Buena Vista,PG-13,1-Oct-04,
Eragon (2006),1 hrs. 39 min.,$100 million,"$75,030,163 ",Fantasy,Fox,PG,15-Dec-06,
The Exorcism of Emily Rose (2005),1 hrs. 54 min.,$19 million,"$75,072,454 ",Horror,Sony / Screen Gems,PG-13,9-Sep-05,
Any Given Sunday (1999),2 hrs. 37 min.,$55 million,"$75,530,832 ",Sports Drama,Warner Bros.,R,22-Dec-99,
We Bought a Zoo (2011),2 hrs. 4 min.,N/A,"$75,624,550 ",Comedy / Drama,Fox,PG,23-Dec-11,
"You, Me and Dupree (2006)",1 hrs. 48 min.,$54 million,"$75,628,110 ",Comedy,Universal,PG-13,14-Jul-06,
The Family Man (2000),2 hrs. 6 min.,$60 million,"$75,793,305 ",Fantasy Comedy,Universal,PG-13,22-Dec-00,
The Haunted Mansion (2003),1 hrs. 39 min.,$90 million,"$75,847,266 ",Family Adventure,Buena Vista,PG,26-Nov-03,
Constantine (2005),2 hrs. 1 min.,$100 million,"$75,976,178 ",Horror,Warner Bros.,R,18-Feb-05,
The Ring Two (2005),1 hrs. 47 min.,N/A,"$76,231,249 ",Horror,DreamWorks,PG-13,18-Mar-05,
Paddington (2015),1 hrs. 35 min.,$55 million,"$76,271,832 ",Family,Weinstein / Dimension,PG,16-Jan-15,
Philadelphia (1993),2 hrs. 5 min.,$26 million,"$77,446,440 ",Drama,TriStar,PG-13,24-Dec-93,
The Adventures of Tintin (2011),1 hrs. 41 min.,N/A,"$77,591,831 ",Animation,Paramount,PG,21-Dec-11,
Gangs of New York (2002),2 hrs. 40 min.,$100 million,"$77,812,000 ",Crime Drama,Miramax,R,20-Dec-02,
The Terminal (2004),2 hrs. 8 min.,$60 million,"$77,872,883 ",Comedy / Drama,DreamWorks,PG-13,18-Jun-04,
Hooper (1978),1 hrs. 37 min.,N/A,"$78,000,000 ",Comedy,Warner Bros.,PG,28-Jul-78,
Teenage Mutant Ninja Turtles II (1991),1 hrs. 28 min.,$25 million,"$78,656,813 ",Family Adventure,New Line,PG,22-Mar-91,
48 HRS. (1982),1 hrs. 36 min.,N/A,"$78,868,508 ",Action Comedy,Paramount,R,10-Dec-82,
Cape Fear (1991),2 hrs. 8 min.,N/A,"$79,091,969 ",Thriller,Universal,R,15-Nov-91,
The Purge: Election Year (2016),1 hrs. 45 min.,$10 million,"$79,213,375 ",Thriller,Universal,R,1-Jul-16,
The Day the Earth Stood Still (2008) (2008),1 hrs. 50 min.,$80 million,"$79,366,978 ",Sci-Fi,Fox,PG-13,12-Dec-08,
Knowing (2009),2 hrs. 2 min.,$50 million,"$79,957,634 ",Drama / Thriller,Summit Entertainment,PG-13,20-Mar-09,
Footloose (1984),1 hrs. 47 min.,$8.2 million,"$80,035,402 ",Music Drama,Paramount,PG,17-Feb-84,
The Mummy (2017) (2017),1 hrs. 47 min.,$125 million,"$80,227,895 ",Action / Adventure,Universal,PG-13,9-Jun-17,
The Dukes of Hazzard (2005),1 hrs. 46 min.,$50 million,"$80,270,227 ",Action Comedy,Warner Bros.,PG-13,5-Aug-05,
The Notebook (2004),2 hrs. 4 min.,$29 million,"$81,001,787 ",Romance,New Line,PG-13,25-Jun-04,
M.A.S.H. (1970),1 hrs. 56 min.,$3.5 million,"$81,600,000 ",Comedy / Drama,Fox,R,25-Jan-70,
Eight Below (2006),1 hrs. 52 min.,$40 million,"$81,612,565 ",Adventure,Buena Vista,PG,17-Feb-06,
Heaven Can Wait (1978) (1978),1 hrs. 41 min.,N/A,"$81,640,278 ",Fantasy Comedy,Paramount,PG,28-Jun-78,
Bram Stoker's Dracula (1992),2 hrs. 7 min.,$40 million,"$82,522,790 ",Period Horror,Columbia,R,13-Nov-92,
The Descendants (2011),1 hrs. 55 min.,N/A,"$82,584,160 ",Comedy / Drama,Fox Searchlight,R,16-Nov-11,
Charlotte's Web (2006) (2006),1 hrs. 53 min.,$85 million,"$82,985,708 ",Family,Paramount,G,15-Dec-06,
Brokeback Mountain (2005),2 hrs. 15 min.,$14 million,"$83,043,761 ",Western,Focus Features,R,9-Dec-05,
Battle: Los Angeles (2011),1 hrs. 56 min.,$70 million,"$83,552,429 ",Sci-Fi Action,Sony / Columbia,PG-13,11-Mar-11,
Insidious Chapter 2 (2013),1 hrs. 45 min.,$5 million,"$83,586,447 ",Horror,FilmDistrict,PG-13,13-Sep-13,
Atlantis: The Lost Empire (2001),1 hrs. 35 min.,$120 million,"$84,056,472 ",Animation,Buena Vista,PG,8-Jun-01,
Power Rangers (2017) (2017),2 hrs. 4 min.,$100 million,"$85,364,450 ",Action / Adventure,Lionsgate,PG-13,24-Mar-17,
Annie (2014) (2014),1 hrs. 58 min.,$65 million,"$85,911,262 ",Musical,Sony / Columbia,PG,19-Dec-14,
Mean Girls (2004),1 hrs. 37 min.,$17 million,"$86,058,055 ",Comedy,Paramount,PG-13,30-Apr-04,
The Emoji Movie (2017),1 hrs. 26 min.,$50 million,"$86,089,513 ",Animation,Sony / Columbia,PG,28-Jul-17,
Presumed Innocent (1990),2 hrs. 7 min.,N/A,"$86,303,188 ",Thriller,Warner Bros.,R,27-Jul-90,
Saw II (2005),1 hrs. 31 min.,$4 million,"$87,039,965 ",Horror,Lions Gate,R,28-Oct-05,
Sisters (2015),1 hrs. 58 min.,$30 million,"$87,044,645 ",Comedy,Universal,R,18-Dec-15,
Everest (IMAX) (1998),0 hrs. 45 min.,N/A,"$87,178,599 ",IMAX,MacGillivray Freeman Films,Unrated,6-Mar-98,
Along Came Polly (2004),1 hrs. 30 min.,$42 million,"$88,097,164 ",Romantic Comedy,Universal,PG-13,16-Jan-04,
The Muppets (2011),2 hrs. 0 min.,$45 million,"$88,631,237 ",Family Comedy,Buena Vista,PG,23-Nov-11,
Don't Breathe (2016),1 hrs. 28 min.,$9.9 million,"$89,217,875 ",Horror Thriller,Sony / Screen Gems,R,26-Aug-16,
Taken 3 (2015),1 hrs. 49 min.,$48 million,"$89,256,424 ",Action,Fox,PG-13,9-Jan-15,
The Lone Ranger (2013),2 hrs. 29 min.,$215 million,"$89,302,115 ",Western,Buena Vista,PG-13,3-Jul-13,
Father of the Bride (1991),1 hrs. 45 min.,N/A,"$89,325,780 ",Comedy,Buena Vista,PG,20-Dec-91,
Mystic River (2003),2 hrs. 18 min.,$25 million,"$90,135,191 ",Crime Drama,Warner Bros.,R,8-Oct-03,
"Legally Blonde 2: Red, White and Blonde (2003)",1 hrs. 35 min.,$45 million,"$90,186,328 ",Comedy,MGM,PG-13,2-Jul-03,
The Game Plan (2007),1 hrs. 50 min.,N/A,"$90,648,202 ",Family Comedy,Buena Vista,PG,28-Sep-07,
Scary Movie 4 (2006),1 hrs. 23 min.,$45 million,"$90,710,620 ",Horror Comedy,Weinstein / Dimension,PG-13,14-Apr-06,
Antz (1998),1 hrs. 24 min.,$105 million,"$90,757,863 ",Animation,DreamWorks,PG,2-Oct-98,
The Imitation Game (2014),1 hrs. 54 min.,N/A,"$91,125,683 ",Drama,Weinstein Company,PG-13,28-Nov-14,
Crimson Tide (1995),1 hrs. 56 min.,N/A,"$91,387,195 ",Action Thriller,Buena Vista,R,12-May-95,
Kindergarten Cop (1990),1 hrs. 51 min.,$15 million,"$91,457,688 ",Comedy,Universal,PG-13,22-Dec-90,
The Town (2010),2 hrs. 3 min.,$37 million,"$92,186,262 ",Crime Drama,Warner Bros.,R,17-Sep-10,
When Harry Met Sally... (1989),1 hrs. 36 min.,N/A,"$92,823,546 ",Romantic Comedy,Columbia,R,14-Jul-89,
Flashdance (1983),1 hrs. 35 min.,N/A,"$92,921,203 ",Music Drama,Paramount,R,15-Apr-83,
Flubber (1997),1 hrs. 33 min.,N/A,"$92,977,226 ",Family Comedy,Buena Vista,PG,26-Nov-97,
The Fighter (2010),1 hrs. 54 min.,$25 million,"$93,617,009 ",Sports Drama,Paramount,R,10-Dec-10,
Master and Commander: The Far Side of the World (2003),2 hrs. 18 min.,$150 million,"$93,927,920 ",War,Fox,PG-13,14-Nov-03,
Julie & Julia (2009),2 hrs. 3 min.,$40 million,"$94,125,426 ",Comedy / Drama,Sony / Columbia,PG-13,7-Aug-09,
The Book of Eli (2010),1 hrs. 58 min.,$80 million,"$94,835,059 ",Action / Adventure,Warner Bros.,R,15-Jan-10,
Schindler's List (1993),3 hrs. 14 min.,$22 million,"$96,065,768 ",War Drama,Universal,R,15-Dec-93,
Public Enemies (2009),2 hrs. 23 min.,$100 million,"$97,104,620 ",Crime Drama,Universal,R,1-Jul-09,
Olympus Has Fallen (2013),2 hrs. 0 min.,$70 million,"$98,925,640 ",Thriller,FilmDistrict,R,22-Mar-13,
Hercules (1997),1 hrs. 32 min.,$85 million,"$99,112,101 ",Animation,Buena Vista,G,15-Jun-97,
Kingsman: The Golden Circle (2017),2 hrs. 21 min.,$104 million,"$100,234,838 ",Action Comedy,Fox,R,22-Sep-17,
